Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
2023-08-13,Sun,1,Away,D 1–1,Liverpool,Chelsea,Y,FW,65,0,0,0,0,2,0,1,0,28,1,0,1,0.1,0.1,0.0,3,0,14,18,2,10,1,2,1,203,31,8,10,5,6,1,1,0.0,1,0,0,0,18,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,1,2,0,2,6,12,11,3,46.0,29.0,1,0,1,0,13,2,0,3,0,12.9,2.6,3.2,2023-08-13 15:30:00+00:00,65,0,1,0,238521,10.0,1,0,0,0,80,2023-08-13
2023-08-19,Sat,2,Home,W 3–1,Liverpool,Bournemouth,Y,"FW,RM",75,1,0,0,0,5,2,0,0,56,1,1,0,0.7,0.7,0.2,4,1,26,37,0,33,3,4,2,338,134,16,22,6,8,1,1,0.1,2,1,0,0,37,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,5,25,26,13,137.0,95.0,1,1,6,1,41,11,2,33,0,22.9,16.1,39.8,2023-08-19 14:00:00+00:00,75,0,2,0,267516,98.0,12,-2050,29834,31884,80,2023-08-19
2023-08-27,Sun,3,Away,W 2–1,Liverpool,Newcastle Utd,N,LM,33,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.1,1,0,9,14,2,11,4,0,0,130,49,5,7,4,5,0,1,0.1,1,0,2,0,14,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,10,4,92.0,73.0,2,2,1,0,15,6,0,12,0,14.3,2.4,1.6,2023-08-27 15:30:00+00:00,32,0,3,0,317146,8.0,4,27710,70798,43088,80,2023-08-27
2023-09-03,Sun,4,Home,W 3–0,Liverpool,Aston Villa,N,LW,26,0,0,0,0,0,0,0,0,19,2,0,0,0.0,0.0,0.0,0,0,9,13,0,8,4,1,0,117,0,6,8,3,4,0,0,0.0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,1,7,11,0,91.0,77.0,4,0,1,1,13,4,0,4,0,1.2,0.5,4.0,2023-09-03 13:00:00+00:00,25,0,4,0,294870,0.0,1,-28671,25857,54528,80,2023-09-03
2023-09-16,Sat,5,Away,W 3–1,Liverpool,Wolves,Y,"LW,RM",55,0,0,0,0,1,0,0,0,26,1,0,1,0.1,0.1,0.0,2,1,15,19,0,17,2,3,3,181,40,12,13,2,5,1,1,0.1,0,0,0,0,19,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,3,2,0,1,0,0,1,2,11,13,4,90.0,48.0,0,1,1,1,21,11,0,6,0,3.5,1.7,3.0,2023-09-16 11:30:00+00:00,55,0,5,0,255416,10.0,1,-47577,30695,78272,79,2023-09-16
2023-09-24,Sun,6,Home,W 3–1,Liverpool,West Ham,N,LW,10,1,0,0,0,2,1,0,0,9,0,0,0,0.5,0.5,0.0,1,0,4,6,0,6,2,0,0,72,4,2,2,0,0,1,1,0.0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,3,4,3,36.0,28.0,0,2,0,1,6,2,0,19,0,0.6,7.1,32.4,2023-09-24 13:00:00+00:00,9,0,6,0,211793,38.0,6,-44589,9935,54524,79,2023-09-24
2023-09-30,Sat,7,Away,L 1–2,Liverpool,Tottenham,N,RM,23,0,0,0,0,0,0,2,1,11,1,0,1,0.0,0.0,0.0,0,0,3,4,0,5,0,2,0,34,0,2,2,1,1,0,0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,6,3,2,0,8.0,0.0,0,0,1,1,6,0,0,-11,0,1.0,0.0,0.0,2023-09-30 16:30:00+00:00,23,0,7,0,199707,0.0,-2,-14641,15561,30202,78,2023-09-30
2023-10-21,Sat,9,Home,W 2–0,Liverpool,Everton,Y,"FW,LW",90,0,0,0,0,4,1,0,0,44,0,0,0,0.1,0.1,0.1,6,0,26,33,1,25,7,3,1,348,73,18,21,8,8,0,0,0.1,3,1,1,0,33,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,14,29,13,181.0,127.0,2,4,2,1,40,8,0,9,1,35.4,9.6,10.0,2023-10-21 11:30:00+00:00,90,0,9,0,136340,51.0,3,3499,15273,11774,77,2023-10-21
2023-10-29,Sun,10,Home,W 3–0,Liverpool,Nott'ham Forest,Y,LW,57,1,0,0,0,3,2,0,0,32,0,0,0,1.0,1.0,0.1,2,0,17,21,0,15,2,2,1,290,18,8,10,7,7,2,2,0.0,1,0,0,0,21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,11,76.0,37.0,2,1,5,2,25,8,0,24,0,14.6,10.8,38.4,2023-10-29 14:00:00+00:00,57,0,10,0,132343,55.0,6,-4687,8386,13073,77,2023-10-29
2023-11-05,Sun,11,Away,D 1–1,Liverpool,Luton Town,Y,LW,65,0,0,0,0,2,1,0,0,33,2,1,0,0.3,0.3,0.0,2,0,20,25,4,26,3,3,2,243,63,14,16,5,6,0,1,0.1,1,4,1,0,25,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,16,15,2,172.0,119.0,3,0,1,1,22,7,0,5,1,13.1,4.4,10.2,2023-11-05 16:30:00+00:00,65,0,11,0,189821,21.0,3,53657,59407,5750,77,2023-11-05
