Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
2022-08-06,Sat,1,Away,D 2–2,Liverpool,Fulham,Y,RW,90,1,0,0,0,2,1,0,0,47,0,1,0,0.4,0.4,0.1,2,0,24,34,6,31,4,6,2,328,113,14,19,8,11,1,2,0.2,1,2,4,1,33,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,14,33,4,144.0,61.0,0,1,3,0,36,11,2,34,0,20.0,8.5,39.6,2022-08-06 11:30:00+00:00,90,0,1,0,4848340,25.0,12,0,0,0,130,2022-08-06
2022-08-15,Mon,2,Home,D 1–1,Liverpool,Crystal Palace,Y,"RW,FW",90,0,0,0,0,3,1,0,0,51,0,0,0,0.3,0.3,0.8,9,0,27,35,9,37,0,6,1,488,158,12,15,9,12,5,6,0.3,8,2,8,1,35,0,0,0,1,3,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,41,9,164.0,52.0,1,1,6,2,41,19,0,5,0,89.7,14.6,18.6,2022-08-15 19:00:00+00:00,90,0,2,0,5570821,38.0,2,133225,175994,42769,130,2022-08-15
2022-08-22,Mon,3,Away,L 1–2,Liverpool,Manchester Utd,Y,RW,90,1,0,0,0,3,1,0,0,35,1,0,0,0.3,0.3,0.3,7,0,16,26,0,26,3,4,2,192,31,10,12,4,7,1,2,0.4,4,0,0,0,25,0,0,0,0,1,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,2,8,25,7,138.0,52.0,1,4,1,6,31,12,1,23,0,45.1,15.6,44.0,2022-08-22 19:00:00+00:00,90,0,3,0,5661806,67.0,8,-84176,135020,219196,130,2022-08-22
2022-08-27,Sat,4,Home,W 9–0,Liverpool,Bournemouth,Y,RW,90,0,0,0,0,4,1,0,0,53,0,0,1,1.2,1.2,0.1,3,1,31,39,7,39,7,3,0,382,124,22,25,7,8,0,1,0.1,2,0,3,0,39,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,46,13,280.0,159.0,4,5,4,2,47,20,0,-5,1,28.1,8.3,2.4,2022-08-27 14:00:00+00:00,90,0,4,0,5784665,52.0,3,-19068,140231,159299,130,2022-08-27
2022-08-31,Wed,5,Home,W 2–1,Liverpool,Newcastle Utd,Y,RW,90,0,2,0,0,2,0,0,0,33,0,0,0,0.2,0.2,0.4,7,2,21,24,4,20,4,6,3,282,81,13,14,7,7,0,0,0.3,6,0,3,0,21,2,0,0,0,0,2,0,1,6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,10,133.0,56.0,1,2,0,3,21,11,2,28,0,64.3,14.7,44.0,2022-08-31 19:00:00+00:00,90,0,5,0,5360861,39.0,10,-466694,61038,527732,130,2022-08-31
2022-09-03,Sat,6,Away,D 0–0,Liverpool,Everton,Y,RW,90,0,0,0,0,3,1,0,0,39,2,0,0,0.2,0.2,0.2,4,0,18,28,3,26,3,2,1,348,107,10,13,5,10,3,3,0.2,3,0,3,1,28,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,1,8,30,7,164.0,84.0,1,1,0,4,30,13,0,8,1,37.3,9.3,14.6,2022-09-03 11:30:00+00:00,90,0,6,0,5299328,41.0,3,-160589,147858,308447,130,2022-09-03
2022-10-01,Sat,9,Home,D 3–3,Liverpool,Brighton,Y,"RW,RM",90,0,1,0,0,5,2,0,0,38,0,0,0,0.6,0.6,0.1,2,1,16,21,4,19,4,4,1,201,90,11,12,3,5,1,2,0.3,1,1,3,0,21,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,5,5,29,8,327.0,106.0,3,5,3,3,25,10,0,3,0,13.1,10.1,18.4,2022-10-01 14:00:00+00:00,90,0,9,0,3748869,69.0,5,-83071,226728,309799,128,2022-10-01
2022-10-09,Sun,10,Away,L 2–3,Liverpool,Arsenal,Y,RW,68,0,0,0,0,1,0,0,0,23,0,0,1,0.1,0.1,0.0,2,0,17,19,1,12,2,3,2,202,44,13,13,3,4,1,1,0.0,1,1,1,0,17,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,10,10,1,97.0,69.0,0,1,0,2,15,1,0,5,0,12.0,1.8,1.8,2022-10-09 15:30:00+00:00,68,0,10,0,3017511,4.0,2,-717057,19774,736831,127,2022-10-09
2022-10-16,Sun,11,Home,W 1–0,Liverpool,Manchester City,Y,FW,89,1,0,0,0,3,1,0,0,26,0,1,0,0.9,0.9,0.0,0,0,11,14,1,17,4,1,0,133,34,5,6,4,4,0,0,0.3,0,1,0,0,12,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,17,6,182.0,92.0,3,4,6,5,22,7,0,15,1,5.7,5.9,30.4,2022-10-16 15:30:00+00:00,89,0,11,0,2730746,23.0,8,-304283,48436,352719,127,2022-10-16
2022-10-19,Wed,12,Home,W 1–0,Liverpool,West Ham,Y,"RM,FW",90,0,0,0,0,6,2,0,0,46,0,0,1,0.4,0.4,0.0,4,0,27,30,4,35,2,5,1,274,97,16,18,6,7,0,0,0.0,1,0,3,0,29,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,14,29,8,181.0,105.0,4,2,2,1,38,8,0,2,1,14.3,9.3,5.4,2022-10-19 18:30:00+00:00,90,0,12,0,4291826,73.0,3,797928,824446,26518,127,2022-10-19
