Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
2022-09-03,Sat,6,Away,D 0–0,Liverpool,Everton,N,FW,11,0,0,0,0,2,0,0,0,13,1,0,0,0.7,0.7,0.1,2,0,2,5,0,5,0,2,0,39,12,0,2,2,2,0,1,0.0,2,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,2,9,4,19.0,2.0,0,0,1,0,5,2,0,-1,0,20.5,3.4,1.2,2022-09-03 11:30:00+00:00,10,0,6,0,27647,12.0,1,-2049,613,2662,89,2022-09-03
2022-10-01,Sat,9,Home,D 3–3,Liverpool,Brighton,N,FW,16,0,0,0,0,0,0,0,0,9,1,0,1,0.0,0.0,0.0,0,0,4,7,1,6,1,0,0,48,7,3,3,1,3,0,0,0.0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,4,6,0,35.0,12.0,1,1,0,1,5,3,0,2,0,0.6,0.5,2.2,2022-10-01 14:00:00+00:00,15,0,9,0,43811,2.0,1,6864,9365,2501,89,2022-10-01
2022-10-09,Sun,10,Away,L 2–3,Liverpool,Arsenal,Y,"AM,LW",80,0,1,0,0,0,0,0,0,37,3,1,0,0.0,0.0,0.3,1,1,16,28,4,23,5,4,2,196,100,11,18,3,5,0,1,0.2,1,2,1,0,28,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,3,4,1,0,0,0,0,2,6,20,12,3,190.0,130.0,3,2,3,1,26,6,0,15,0,14.9,4.7,25.8,2022-10-09 15:30:00+00:00,80,0,10,0,44517,6.0,5,-647,5404,6051,89,2022-10-09
2022-10-16,Sun,11,Home,W 1–0,Liverpool,Manchester City,Y,"LW,LM",89,0,0,0,0,1,1,1,0,41,5,1,1,0.1,0.1,0.4,4,0,16,24,4,18,2,2,0,257,97,7,10,4,6,3,4,0.0,4,2,1,1,24,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,1,1,0,0,1,1,0,5,13,19,10,4,155.0,52.0,1,1,3,2,24,7,0,12,1,45.0,9.1,23.4,2022-10-16 15:30:00+00:00,90,0,11,0,48378,23.0,1,2304,6542,4238,89,2022-10-16
2023-02-13,Mon,23,Home,W 2–0,Liverpool,Everton,N,LW,21,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,5,7,1,6,0,1,0,72,26,1,3,3,3,0,0,0.0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,1,7,2,0,18.0,17.0,0,0,1,0,7,3,0,2,0,1.2,0.1,0.0,2023-02-13 20:00:00+00:00,20,0,23,0,30964,0.0,1,547,828,281,88,2023-02-13
2023-02-18,Sat,24,Away,W 2–0,Liverpool,Newcastle Utd,N,LW,32,0,0,0,0,4,0,0,0,25,1,0,0,0.5,0.5,0.0,1,0,12,15,0,15,3,2,1,185,33,8,8,3,4,1,1,0.0,0,1,0,0,15,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,4,0,0,0,0,0,1,11,13,6,74.0,46.0,0,1,0,0,21,6,0,-3,0,5.8,2.6,0.0,2023-02-18 17:30:00+00:00,31,0,24,0,35475,22.0,1,4095,4693,598,88,2023-02-18
2023-02-25,Sat,25,Away,D 0–0,Liverpool,Crystal Palace,Y,LW,70,0,0,0,0,4,1,0,0,32,1,0,0,0.4,0.4,0.0,4,0,18,22,0,21,1,2,2,215,13,12,15,4,5,0,0,0.0,1,0,0,0,22,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,3,11,18,3,94.0,36.0,0,0,3,3,27,5,0,2,1,13.6,4.4,5.8,2023-02-25 19:45:00+00:00,70,0,25,0,57881,25.0,2,16017,20874,4857,88,2023-02-25
2023-03-01,Wed,7,Home,W 2–0,Liverpool,Wolves,Y,FW,75,0,1,0,0,2,0,0,0,37,1,0,0,0.2,0.2,0.7,3,1,23,28,5,22,2,1,0,268,78,18,20,4,5,0,0,0.6,2,2,3,0,28,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,2,0,0,0,0,0,0,19,18,5,124.0,83.0,3,0,1,0,30,3,0,17,1,25.4,5.6,17.0,2023-03-01 20:00:00+00:00,75,0,25,0,57881,14.0,5,16017,20874,4857,88,2023-03-01
2023-03-05,Sun,26,Home,W 7–0,Liverpool,Manchester Utd,N,LW,12,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,0,3,1,1,0,12,3,1,1,0,1,0,0,0.0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,2,2,24.0,21.0,0,1,1,0,4,1,0,2,0,3.2,0.7,0.2,2023-03-05 16:30:00+00:00,12,0,26,0,52446,4.0,1,78,5857,5779,88,2023-03-05
2023-03-11,Sat,27,Away,L 0–1,Liverpool,Bournemouth,N,"LW,RM",45,0,0,0,0,2,1,0,0,25,1,0,0,0.2,0.2,0.0,1,0,9,14,0,15,2,3,1,113,12,7,9,2,2,0,2,0.0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,11,13,3,71.0,35.0,1,1,1,0,17,5,0,2,0,2.9,3.6,6.2,2023-03-11 12:30:00+00:00,45,0,27,0,45467,27.0,1,-7446,2372,9818,88,2023-03-11
2023-04-01,Sat,29,Away,L 1–4,Liverpool,Manchester City,Y,LW,69,0,1,0,0,0,0,0,0,22,1,1,0,0.0,0.0,0.2,2,1,14,16,3,14,2,2,1,201,72,8,8,4,5,1,1,0.0,2,4,0,0,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,2,8,12,4,1,122.0,102.0,2,1,0,3,15,2,0,17,0,22.4,5.2,25.2,2023-04-01 11:30:00+00:00,69,0,29,0,46369,4.0,5,3958,6493,2535,87,2023-04-01
2023-04-04,Tue,8,Away,D 0–0,Liverpool,Chelsea,Y,"RW,FW",90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,23,29,2,25,2,8,4,310,63,12,15,10,11,0,1,0.0,0,4,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,16,15,2,158.0,68.0,5,1,1,3,30,6,0,2,1,4.0,1.4,4.4,2023-04-04 19:00:00+00:00,90,0,29,0,46369,6.0,2,3958,6493,2535,87,2023-04-04
2023-04-09,Sun,30,Home,D 2–2,Liverpool,Arsenal,Y,LW,59,0,0,0,0,1,0,0,0,27,0,0,1,0.1,0.1,0.2,2,0,12,17,2,10,0,0,0,134,40,10,13,1,3,0,0,0.2,1,2,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0,4,8,12,7,3,32.0,1.0,0,0,3,2,16,3,0,7,0,10.5,2.8,6.0,2023-04-09 15:30:00+00:00,60,0,30,0,46023,11.0,2,-449,2701,3150,87,2023-04-09
