Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
2021-08-14,Sat,1,Away,W 3–0,Liverpool,Norwich City,Y,RW,90,1,2,0,0,5,2,0,0,35,0,0,0,0.3,0.3,0.7,4,2,17,24,4,19,3,3,2,199,67,12,13,5,7,0,0,0.4,3,0,1,0,23,1,0,1,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,25,12,107.0,54.0,1,4,3,1,24,8,3,49,1,36.4,17.7,70.6,2021-08-14 16:30:00+00:00,90,0,1,0,3548693,70.0,17,0,0,0,125,2021-08-14
2021-08-21,Sat,2,Home,W 2–0,Liverpool,Burnley,Y,RW,90,0,0,0,0,5,1,0,0,42,0,0,0,0.4,0.4,0.1,7,0,26,31,2,33,6,4,2,292,68,18,20,5,6,1,2,0.1,2,0,1,0,31,0,0,0,0,1,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,31,13,158.0,121.0,1,5,2,2,34,17,0,5,1,26.1,11.1,6.4,2021-08-21 11:30:00+00:00,90,0,2,0,4181298,78.0,3,227931,258463,30532,126,2021-08-21
2021-08-28,Sat,3,Home,D 1–1,Liverpool,Chelsea,Y,RW,90,1,0,1,1,2,1,0,0,56,0,0,0,1.1,0.3,0.2,7,0,37,45,2,35,3,4,2,494,115,27,28,7,8,2,6,0.1,3,2,3,1,45,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,11,43,6,187.0,89.0,3,0,2,4,49,17,3,27,0,45.1,14.0,46.8,2021-08-28 16:30:00+00:00,90,0,3,0,4031662,48.0,10,-203411,89165,292576,126,2021-08-28
2021-09-12,Sun,4,Away,W 3–0,Liverpool,Leeds United,Y,RW,90,1,0,0,0,3,1,0,0,47,1,0,0,0.9,0.9,0.8,9,0,25,34,6,34,5,3,0,337,144,19,24,6,8,0,0,0.5,4,2,4,1,34,0,0,2,0,2,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,18,26,7,246.0,139.0,1,3,6,0,34,7,0,28,1,53.2,17.7,47.0,2021-09-12 15:30:00+00:00,90,0,4,0,4316524,77.0,8,126513,335798,209285,125,2021-09-12
2021-09-18,Sat,5,Home,W 3–0,Liverpool,Crystal Palace,Y,RW,90,1,0,0,0,6,5,1,0,57,0,0,0,0.5,0.5,0.2,4,1,34,44,7,46,1,5,3,417,92,22,24,8,12,1,3,0.1,2,0,3,0,42,1,0,1,0,1,0,1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,20,33,7,193.0,78.0,4,0,2,7,52,9,2,29,1,28.9,19.7,53.0,2021-09-18 14:00:00+00:00,90,0,5,0,4498374,115.0,12,121907,221690,99783,125,2021-09-18
2021-09-25,Sat,6,Away,D 3–3,Liverpool,Brentford,Y,"RW,FW",90,1,0,0,0,3,1,0,0,51,0,1,0,1.6,1.6,0.0,5,1,27,41,4,33,4,4,2,379,62,14,20,7,11,2,3,0.0,1,1,1,0,37,3,0,0,0,2,0,0,1,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,16,36,7,163.0,75.0,1,2,3,0,39,17,0,19,0,14.5,9.8,36.8,2021-09-25 16:30:00+00:00,90,0,6,0,4808143,47.0,7,243759,271173,27414,126,2021-09-25
2021-10-03,Sun,7,Home,D 2–2,Liverpool,Manchester City,Y,RW,90,1,1,0,0,3,1,0,0,40,4,1,0,0.2,0.2,0.6,5,4,17,21,5,26,5,8,5,226,130,8,10,5,7,1,1,0.3,2,2,6,1,21,0,0,1,0,2,0,0,0,2,0,3,0,0,0,1,0,3,0,0,0,3,2,1,1,1,2,1,0,0,1,0,1,6,9,26,5,212.0,142.0,4,1,7,1,29,7,3,47,0,30.2,15.7,70.2,2021-10-03 15:30:00+00:00,90,0,7,0,4916925,57.0,13,96385,162954,66569,126,2021-10-03
2021-10-16,Sat,8,Away,W 5–0,Liverpool,Watford,Y,RW,90,1,1,0,0,5,3,0,0,63,0,0,0,0.3,0.3,0.3,6,3,42,52,5,35,6,4,3,571,171,25,27,11,15,3,3,0.2,2,1,1,0,52,0,0,1,0,1,0,0,0,4,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,27,36,9,242.0,112.0,4,4,4,2,60,19,2,43,1,30.5,18.6,64.0,2021-10-16 11:30:00+00:00,90,0,8,0,5296809,91.0,13,306885,317190,10305,127,2021-10-16
2021-10-24,Sun,9,Away,W 5–0,Liverpool,Manchester Utd,Y,RW,90,3,1,0,0,7,4,0,0,57,0,0,0,1.3,1.3,0.7,3,2,44,48,6,40,5,1,0,635,158,24,25,19,21,1,1,0.2,2,3,0,0,48,0,0,1,0,1,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,27,6,176.0,113.0,0,3,1,0,52,10,3,76,1,33.3,24.5,121.2,2021-10-24 15:30:00+00:00,90,0,9,0,5565682,90.0,24,247160,269688,22528,128,2021-10-24
2021-10-30,Sat,10,Home,D 2–2,Liverpool,Brighton,Y,RW,90,0,1,0,0,2,1,0,0,42,0,0,0,0.1,0.1,0.6,3,1,22,32,6,18,6,3,3,311,95,15,18,7,9,0,1,0.1,2,0,2,0,32,0,0,0,0,2,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,15,22,10,124.0,86.0,0,5,6,0,36,12,0,25,0,25.1,10.4,27.6,2021-10-30 14:00:00+00:00,90,0,10,0,6023450,51.0,5,386195,391578,5383,129,2021-10-30
