event,team_h,team_a,team_h_difficulty,team_a_difficulty
11,West Ham,Liverpool,3,3
11,Spurs,Crystal Palace,2,4
11,Southampton,Burnley,2,4
11,Stoke,Leicester,2,2
11,Man City,Arsenal,3,5
11,Newcastle,Bournemouth,2,2
11,Huddersfield,West Brom,2,2
11,Everton,Watford,4,3
11,Chelsea,Man Utd,4,3
12,West Brom,Chelsea,4,2
12,Watford,West Ham,2,2
12,Man Utd,Newcastle,2,4
12,Liverpool,Southampton,3,4
12,Leicester,Man City,5,3
12,Crystal Palace,Everton,2,2
12,Burnley,Swansea,2,3
12,Brighton,Stoke,2,2
12,Bournemouth,Huddersfield,2,2
12,Arsenal,Spurs,4,5
13,West Ham,Leicester,2,2
13,Spurs,West Brom,2,4
13,Swansea,Bournemouth,2,2
13,Southampton,Everton,2,4
13,Newcastle,Watford,3,2
13,Man Utd,Brighton,2,4
13,Liverpool,Chelsea,4,4
13,Huddersfield,Man City,5,2
13,Crystal Palace,Stoke,2,3
13,Burnley,Arsenal,3,3
14,West Brom,Newcastle,2,2
14,Watford,Man Utd,3,2
14,Stoke,Liverpool,3,2
14,Man City,Southampton,2,5
14,Leicester,Spurs,4,2
14,Everton,West Ham,2,3
14,Chelsea,Swansea,2,3
14,Brighton,Crystal Palace,2,2
14,Bournemouth,Burnley,2,2
14,Arsenal,Huddersfield,2,5
15,Watford,Spurs,4,2
15,Stoke,Swansea,2,2
15,Man City,West Ham,2,5
15,Leicester,Burnley,2,2
15,West Brom,Crystal Palace,2,2
15,Chelsea,Newcastle,2,4
15,Brighton,Liverpool,4,3
15,Bournemouth,Southampton,2,2
15,Arsenal,Man Utd,3,5
15,Everton,Huddersfield,2,3
16,West Ham,Chelsea,4,2
16,Spurs,Stoke,2,4
16,Swansea,West Brom,2,2
16,Southampton,Arsenal,3,4
16,Newcastle,Leicester,2,2
16,Man Utd,Man City,5,4
16,Liverpool,Everton,2,4
16,Huddersfield,Brighton,2,2
16,Crystal Palace,Bournemouth,2,3
16,Burnley,Watford,3,2
17,Spurs,Brighton,2,4
17,Swansea,Man City,5,3
17,Southampton,Leicester,3,4
17,Newcastle,Everton,2,2
17,West Ham,Arsenal,3,2
17,Liverpool,West Brom,2,4
17,Huddersfield,Chelsea,4,2
17,Crystal Palace,Watford,3,4
17,Burnley,Stoke,2,3
17,Man Utd,Bournemouth,2,4
18,Watford,Huddersfield,2,2
18,Stoke,West Ham,2,2
18,Man City,Spurs,3,5
18,Leicester,Crystal Palace,2,2
18,West Brom,Man Utd,2,2
18,Chelsea,Southampton,2,4
18,Brighton,Burnley,2,2
18,Bournemouth,Liverpool,4,3
18,Arsenal,Newcastle,2,5
18,Everton,Swansea,2,3
19,West Ham,Newcastle,2,2
19,Swansea,Crystal Palace,2,2
19,Stoke,West Brom,2,2
