,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,own_goals,penalties_conceded,recoveries,round,saves,selected,tackled,tackles,target_missed,threat,total_points,transfers_balance,transfers_in,transfers_out,value,winning_goals,kickoff_date
10,2017-09-23,Sat,6,Away,W 4–0,Chelsea,Stoke City,N,"DM,AM",23,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.1,2,1,31,34,5,19,0,1,1,601,327,16,17,11,12,4,5,0.4,1,8,2,0,33,1,1,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,10,0,67.0,22.0,0,0,0,1,31,1,34,0,0,0,9,0,0,31,19.1,1,0,0,0,1,2.5,2753,6.2,1,2017-09-23 14:00:00+00:00,23 Sep 15:00,0,0,22,0,0,0,0,2,6,0,306530,1,0,0,0.0,1,9956,41627,31671,69,0,2017-09-23
11,2017-09-30,Sat,7,Home,L 0–1,Chelsea,Manchester City,Y,"AM,DM,CM",90,0,0,0,0,0,0,0,0,68,1,0,2,0.0,0.0,0.2,3,0,53,66,4,33,0,1,1,932,406,21,24,26,30,4,9,0.1,2,1,1,0,54,11,6,0,0,4,2,3,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,2,0,0,3,26,31,12,0,92.0,23.0,0,0,0,0,48,0,59,1,0,0,19,0,0,50,28.3,1,0,0,0,1,3.9,3303,10.6,2,2017-09-30 16:30:00+00:00,30 Sep 17:30,0,0,90,0,1,0,0,3,7,0,269414,0,1,0,0.0,2,-41124,12966,54090,69,0,2017-09-30
12,2017-10-14,Sat,8,Away,L 1–2,Chelsea,Crystal Palace,Y,CM,90,0,1,0,0,4,0,0,0,115,10,2,3,0.2,0.2,0.3,7,2,69,96,15,61,0,1,0,1469,467,18,23,32,40,15,21,0.4,4,11,3,0,82,11,4,2,2,7,0,7,3,4,3,0,0,0,0,1,1,0,0,0,0,5,2,7,1,4,7,3,0,3,2,1,3,20,66,29,1,189.0,80.0,1,0,1,1,74,3,85,0,0,0,20,0,4,66,58.6,0,0,0,0,0,11.5,3857,46.0,4,2017-10-14 14:00:00+00:00,14 Oct 15:00,0,0,90,0,0,0,0,11,8,0,283368,2,0,4,10.0,5,9994,38753,28759,69,0,2017-10-14
13,2017-10-21,Sat,9,Home,W 4–2,Chelsea,Watford,Y,CM,90,0,0,0,0,2,2,0,0,96,4,0,4,0.3,0.3,0.2,6,1,69,85,8,51,1,0,0,1181,511,28,29,28,32,8,16,0.1,3,7,0,0,75,8,3,0,0,4,0,5,2,2,3,0,1,0,0,0,1,0,0,0,0,3,3,1,0,3,3,0,1,3,0,0,2,21,57,19,3,204.0,67.0,1,0,0,2,64,1,79,0,1,0,16,0,1,66,42.3,0,0,0,0,1,10.3,4414,30.8,3,2017-10-21 11:30:00+00:00,21 Oct 12:30,0,0,90,0,1,0,0,8,9,0,298363,2,3,0,30.0,2,12556,30880,18324,69,0,2017-10-21
14,2017-10-28,Sat,10,Away,W 1–0,Chelsea,Bournemouth,Y,"CM,AM",90,0,0,0,0,4,0,0,0,124,0,1,1,0.4,0.4,0.1,6,0,97,113,12,74,0,0,0,1615,638,47,52,38,41,9,15,0.2,2,10,3,0,106,5,0,1,1,2,0,5,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,0,2,20,60,46,3,208.0,123.0,2,0,0,0,100,4,108,0,0,0,13,1,3,95,39.6,0,0,0,0,0,12.1,4973,17.6,2,2017-10-28 16:30:00+00:00,28 Oct 17:30,0,0,90,0,0,0,0,5,10,0,280369,0,0,1,64.0,3,-20112,14042,34154,69,0,2017-10-28
15,2017-11-05,Sun,11,Home,W 1–0,Chelsea,Manchester Utd,Y,CM,78,0,0,0,0,1,0,0,0,91,2,2,2,0.1,0.1,0.6,9,1,66,83,18,49,2,2,2,1144,470,33,36,25,30,8,13,0.3,6,12,3,0,72,11,7,0,0,5,0,4,0,6,3,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,2,1,1,1,1,0,1,11,40,40,1,225.0,122.0,2,0,1,0,62,4,78,1,1,0,20,1,4,65,72.8,2,0,0,0,0,11.0,5536,30.6,6,2017-11-05 16:30:00+00:00,05 Nov 16:30,0,0,78,0,0,0,0,5,11,0,258685,0,0,1,7.0,3,-23140,5657,28797,69,0,2017-11-05
16,2017-11-18,Sat,12,Away,W 4–0,Chelsea,West Brom,Y,DM,66,0,2,0,0,0,0,1,0,76,0,1,0,0.0,0.0,0.4,4,2,60,71,15,48,2,0,0,1104,429,24,28,24,27,10,12,0.2,3,8,3,1,67,4,2,1,0,4,0,2,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,43,24,1,192.0,122.0,3,0,3,2,64,4,67,0,0,0,27,1,1,58,50.1,0,0,0,0,2,9.3,6102,41.0,3,2017-11-18 15:00:00+00:00,18 Nov 15:00,0,0,66,0,2,0,0,3,12,0,260340,2,0,0,2.0,8,-495,17239,17734,69,0,2017-11-18
17,2017-11-25,Sat,13,Away,D 1–1,Chelsea,Liverpool,N,DM,17,0,0,0,0,0,0,0,0,26,1,0,0,0.0,0.0,0.0,0,0,18,25,4,17,0,0,0,419,197,6,6,7,9,5,9,0.0,0,2,1,0,23,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,18,4,0,73.0,58.0,0,0,0,0,24,0,23,0,0,0,5,0,0,17,5.0,0,0,0,0,0,0.9,6671,4.0,0,2017-11-25 17:30:00+00:00,25 Nov 17:30,0,0,16,0,0,0,0,0,13,0,266363,0,1,0,0.0,1,4220,17505,13285,69,0,2017-11-25
18,2017-11-29,Wed,14,Home,W 1–0,Chelsea,Swansea City,Y,CM,90,0,0,0,0,1,0,0,0,112,3,0,1,0.0,0.0,0.4,11,0,75,105,12,61,1,1,1,1308,391,34,40,28,36,9,21,0.2,6,5,2,0,90,15,2,0,1,10,0,13,0,5,6,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,1,1,0,1,2,0,0,12,51,49,2,228.0,99.0,1,0,0,1,78,5,94,1,0,0,24,1,2,72,80.1,1,0,0,0,1,11.8,7241,26.0,6,2017-11-29 19:45:00+00:00,29 Nov 19:45,0,0,90,0,1,0,0,5,14,0,267289,0,2,0,12.0,3,-271,16111,16382,69,0,2017-11-29
19,2017-12-02,Sat,15,Home,W 3–1,Chelsea,Newcastle Utd,Y,DM,77,0,0,0,0,1,0,0,0,87,3,2,2,0.0,0.0,0.6,8,1,63,81,15,50,0,0,0,1260,564,23,25,27,31,12,19,0.5,4,6,5,0,64,15,6,1,0,8,0,9,2,4,4,0,0,0,0,1,0,0,0,0,0,3,2,0,1,0,0,0,0,2,0,0,2,10,39,39,3,129.0,82.0,1,0,0,0,58,9,72,1,0,0,29,0,2,60,64.5,0,0,0,0,0,9.9,7812,20.8,4,2017-12-02 12:30:00+00:00,02 Dec 12:30,0,0,77,0,1,0,0,6,15,0,264808,0,4,0,14.0,2,-3554,11867,15421,69,0,2017-12-02
