,Date,Time,Matchweek,Day,Venue,Result,Goals Scored,Goals Conceded,Opponent,xG,xGA,Possession,Attendance,Captain,Formation,Opposition Formation,Referee
46,2020-11-22,14:00 ,9,Sun,Home,L,0,1,West Ham,0.9,2.1,51,,John Egan,3-5-2,3-4-3,Martin Atkinson
47,2020-11-28,20:00 ,10,Sat,Away,L,0,1,West Brom,2.9,1.2,51,,John Egan,3-5-2,3-4-1-2,Mike Dean
48,2020-12-06,14:15 ,11,Sun,Home,L,1,2,Leicester City,0.2,1.4,31,,John Egan,5-3-2,3-4-3,Stuart Attwell
49,2020-12-13,12:00 ,12,Sun,Away,L,0,3,Southampton,0.3,2.0,33,"2,000",Billy Sharp,5-3-2,4-4-2,Andy Madley
50,2020-12-17,20:00 ,13,Thu,Home,L,2,3,Manchester Utd,1.5,1.9,40,,John Egan,5-3-2,4-2-3-1,Michael Oliver
51,2020-12-20,12:00 ,14,Sun,Away,D,1,1,Brighton,0.5,2.8,27,,John Egan,5-3-2,3-4-3,Peter Bankes
52,2020-12-26,20:00 ,15,Sat,Home,L,0,1,Everton,1.4,0.7,44,,John Egan,3-4-3,4-2-3-1,David Coote
53,2020-12-29,18:00 ,16,Tue,Away,L,0,1,Burnley,0.7,1.0,63,,John Egan,3-4-3,4-4-2,Chris Kavanagh
54,2021-01-02,15:00 ,17,Sat,Away,L,0,2,Crystal Palace,0.4,0.6,56,,John Egan,3-5-2,4-4-2,Stuart Attwell
55,2021-01-12,18:00 ,18,Tue,Home,W,1,0,Newcastle Utd,2.1,0.6,65,,John Egan,3-5-2,5-4-1,Andy Madley
56,2021-01-17,14:00 ,19,Sun,Home,L,1,3,Tottenham,0.9,1.0,43,,John Egan,3-5-2,3-4-3,Andre Marriner
57,2021-01-27,20:15 ,20,Wed,Away,W,2,1,Manchester Utd,1.0,1.1,25,,Billy Sharp,3-5-2,4-2-3-1,Peter Bankes
58,2021-01-30,15:00 ,21,Sat,Away,L,0,1,Manchester City,0.2,1.5,25,,John Egan,5-3-2,4-3-3,David Coote
59,2021-02-02,18:00 ,22,Tue,Home,W,2,1,West Brom,1.3,1.6,68,,Billy Sharp,3-5-2,4-4-1-1,Paul Tierney
60,2021-02-07,19:15 ,23,Sun,Home,L,1,2,Chelsea,0.6,1.6,32,,John Egan,3-5-2,3-4-3,Kevin Friend
61,2021-02-15,18:00 ,24,Mon,Away,L,0,3,West Ham,0.7,1.9,54,,Billy Sharp,3-5-2,3-4-3,Simon Hooper
62,2021-02-20,20:00 ,25,Sat,Away,L,0,1,Fulham,0.9,1.2,36,,Billy Sharp,3-5-2,4-2-3-1,Martin Atkinson
63,2021-02-28,19:15 ,26,Sun,Home,L,0,2,Liverpool,0.7,2.7,40,,David McGoldrick,3-5-2,4-3-3,Jonathan Moss
64,2021-03-03,18:00 ,29,Wed,Home,W,1,0,Aston Villa,0.9,2.3,28,,David McGoldrick,3-5-2,4-3-3,Robert Jones
65,2021-03-06,15:00 ,27,Sat,Home,L,0,2,Southampton,0.7,1.9,51,,David McGoldrick,3-5-2,4-4-2,Paul Tierney
66,2021-03-14,14:00 ,28,Sun,Away,L,0,5,Leicester City,0.1,4.0,29,,Billy Sharp,3-5-2,3-4-1-2,Peter Bankes
67,2021-04-03,15:00 ,30,Sat,Away,L,1,2,Leeds United,1.1,2.4,46,,David McGoldrick,3-5-2,4-1-4-1,Graham Scott
68,2021-04-11,19:00 ,31,Sun,Home,L,0,3,Arsenal,0.3,1.7,45,,John Egan,3-5-2,4-2-3-1,Peter Bankes
69,2021-04-17,20:15 ,32,Sat,Away,L,0,1,Wolves,0.5,1.1,52,,John Egan,3-4-3,3-4-3,Robert Jones
70,2021-04-24,20:00 ,33,Sat,Home,W,1,0,Brighton,0.7,2.0,32,,John Egan,3-4-1-2,3-4-1-2,Kevin Friend
71,2021-05-02,19:15 ,34,Sun,Away,L,0,4,Tottenham,0.5,2.2,34,,John Egan,3-4-1-2,4-2-3-1,Andre Marriner
72,2021-05-08,15:00 ,35,Sat,Home,L,0,2,Crystal Palace,0.7,2.0,50,,John Egan,3-5-2,4-3-3,Simon Hooper
73,2021-05-16,19:00 ,36,Sun,Away,W,1,0,Everton,1.2,1.4,38,,John Egan,3-4-3,4-2-3-1,Jonathan Moss
74,2021-05-19,18:00 ,37,Wed,Away,L,0,1,Newcastle Utd,0.9,1.6,49,"10,000",John Egan,3-4-3,5-3-2,Robert Jones
75,2021-05-23,16:00 ,38,Sun,Home,W,1,0,Burnley,0.5,1.1,43,"5,000",John Egan,3-4-3,4-4-1-1,Kevin Friend
76,2019-08-10,15:00 ,1,Sat,Away,D,1,1,Bournemouth,1.3,1.3,47,"10,714",Oliver Norwood,3-5-2,3-4-3,Kevin Friend
77,2019-08-18,14:00 ,2,Sun,Home,W,1,0,Crystal Palace,2.2,0.3,43,"30,197",Oliver Norwood,3-5-2,4-4-2,David Coote
78,2019-08-24,15:00 ,3,Sat,Home,L,1,2,Leicester City,0.3,0.8,49,"30,079",Oliver Norwood,3-5-2,4-3-3,Andy Madley
79,2019-08-31,15:00 ,4,Sat,Away,D,2,2,Chelsea,1.1,2.0,38,"40,560",Oliver Norwood,3-5-2,4-3-3,Stuart Attwell
80,2019-09-14,15:00 ,5,Sat,Home,L,0,1,Southampton,1.8,1.6,49,"30,985",Oliver Norwood,3-5-2,3-4-3,Lee Mason
81,2019-09-21,15:00 ,6,Sat,Away,W,2,0,Everton,0.5,1.0,31,"39,354",Oliver Norwood,3-5-2,4-2-3-1,Simon Hooper
82,2019-09-28,12:30 ,7,Sat,Home,L,0,1,Liverpool,1.3,1.9,30,"31,774",Oliver Norwood,3-5-2,4-3-3,Anthony Taylor
83,2019-10-05,15:00 ,8,Sat,Away,D,0,0,Watford,0.4,1.4,60,"20,811",Oliver Norwood,3-5-2,5-3-2,Andre Marriner
84,2019-10-21,20:00 ,9,Mon,Home,W,1,0,Arsenal,0.9,1.0,33,"30,775",Oliver Norwood,3-5-2,4-2-3-1,Mike Dean
85,2019-10-26,15:00 ,10,Sat,Away,D,1,1,West Ham,1.0,2.3,40,"59,878",Oliver Norwood,3-5-2,4-1-4-1,David Coote
86,2019-11-02,15:00 ,11,Sat,Home,W,3,0,Burnley,2.3,0.8,45,"31,131",Oliver Norwood,3-5-2,4-4-2,Simon Hooper
87,2019-11-09,15:00 ,12,Sat,Away,D,1,1,Tottenham,0.9,1.8,39,"59,781",Oliver Norwood,3-5-2,4-2-3-1,Graham Scott
88,2019-11-24,16:30 ,13,Sun,Home,D,3,3,Manchester Utd,1.3,1.3,41,"32,024",Oliver Norwood,3-5-2,3-4-3,Andre Marriner
89,2019-12-01,14:00 ,14,Sun,Away,D,1,1,Wolves,1.5,1.3,41,"31,642",Oliver Norwood,3-5-2,3-4-3,David Coote
90,2019-12-05,19:30 ,15,Thu,Home,L,0,2,Newcastle Utd,1.1,0.5,73,"30,409",Billy Sharp,3-5-2,5-4-1,Stuart Attwell
91,2019-12-08,14:00 ,16,Sun,Away,W,2,1,Norwich City,0.8,0.7,42,"26,881",Oliver Norwood,3-5-2,4-2-3-1,Simon Hooper
92,2019-12-14,15:00 ,17,Sat,Home,W,2,0,Aston Villa,1.7,1.1,56,"30,396",Oliver Norwood,3-5-2,4-3-3,Peter Bankes
93,2019-12-21,15:00 ,18,Sat,Away,W,1,0,Brighton,1.3,0.5,31,"30,505",Oliver Norwood,3-5-2,4-2-3-1,Robert Jones
94,2019-12-26,15:00 ,19,Thu,Home,D,1,1,Watford,2.4,0.6,58,"30,222",Oliver Norwood,3-5-2,4-2-3-1,David Coote
95,2019-12-29,18:00 ,20,Sun,Away,L,0,2,Manchester City,1.1,1.1,28,"54,512",Oliver Norwood,3-5-2,4-3-3,Chris Kavanagh
96,2020-01-02,20:00 ,21,Thu,Away,L,0,2,Liverpool,0.6,2.8,26,"53,321",Oliver Norwood,3-5-2,4-3-3,Paul Tierney
97,2020-01-10,20:00 ,22,Fri,Home,W,1,0,West Ham,1.4,0.7,47,"30,124",Oliver Norwood,3-5-2,3-4-3,Michael Oliver
98,2020-01-18,15:00 ,23,Sat,Away,D,1,1,Arsenal,0.8,1.4,39,"60,310",Oliver Norwood,3-5-2,4-2-3-1,Mike Dean
99,2020-01-21,19:30 ,24,Tue,Home,L,0,1,Manchester City,0.8,2.8,34,"31,285",Billy Sharp,3-5-2,3-4-3,Lee Mason
100,2020-02-01,15:00 ,25,Sat,Away,W,1,0,Crystal Palace,0.7,0.8,39,"25,170",Billy Sharp,3-5-2,4-5-1,Andy Madley
101,2020-02-09,14:00 ,26,Sun,Home,W,2,1,Bournemouth,1.9,1.4,55,"30,361",Billy Sharp,3-5-2,4-5-1,Jonathan Moss
102,2020-02-22,15:00 ,27,Sat,Home,D,1,1,Brighton,1.6,1.2,65,"31,888",Billy Sharp,3-5-2,5-3-2,Graham Scott
103,2020-03-07,15:00 ,29,Sat,Home,W,1,0,Norwich City,0.9,2.4,42,"31,379",Billy Sharp,3-5-2,4-2-3-1,Simon Hooper
104,2020-06-17,18:00 ,28,Wed,Away,D,0,0,Aston Villa,0.3,1.4,54,,Billy Sharp,3-5-2,4-3-3,Michael Oliver
105,2020-06-21,14:00 ,30,Sun,Away,L,0,3,Newcastle Utd,0.6,2.0,54,,Billy Sharp,3-5-2,4-4-1-1,David Coote
106,2020-06-24,18:00 ,31,Wed,Away,L,0,3,Manchester Utd,0.1,2.4,32,,Oliver Norwood,3-5-2,4-2-3-1,Anthony Taylor
107,2020-07-02,18:00 ,32,Thu,Home,W,3,1,Tottenham,1.6,1.1,33,,Oliver Norwood,3-5-2,4-2-3-1,Chris Kavanagh
108,2020-07-05,12:00 ,33,Sun,Away,D,1,1,Burnley,1.1,1.3,52,,Oliver Norwood,3-5-2,4-4-2,Peter Bankes
109,2020-07-08,18:00 ,34,Wed,Home,W,1,0,Wolves,0.5,0.4,44,,Billy Sharp,3-5-2,3-4-3,Martin Atkinson
110,2020-07-11,17:30 ,35,Sat,Home,W,3,0,Chelsea,2.3,1.2,24,,Oliver Norwood,3-5-2,4-3-3,Andre Marriner
111,2020-07-16,18:00 ,36,Thu,Away,L,0,2,Leicester City,0.7,2.6,46,,Oliver Norwood,3-5-2,3-4-3,Michael Oliver
112,2020-07-20,18:00 ,37,Mon,Home,L,0,1,Everton,0.5,0.4,51,,Oliver Norwood,3-5-2,4-2-3-1,Stuart Attwell
113,2020-07-26,16:00 ,38,Sun,Away,L,1,3,Southampton,1.4,1.7,28,,Billy Sharp,3-5-2,4-4-2,Peter Bankes
