,Date,Time,Matchweek,Day,Venue,Result,Goals Scored,Goals Conceded,Opponent,xG,xGA,Possession,Attendance,Captain,Formation,Opposition Formation,Referee
209,2018-12-30,14:15 ,20,Sun,Away,L,0,2,Burnley,0.8,2.7,57,"20,933",Mark Noble,4-4-2,4-4-2,David Coote
210,2019-01-02,19:45 ,21,Wed,Home,D,2,2,Brighton,0.8,0.7,55,"59,870",Pablo Zabaleta,4-4-2,4-5-1,Chris Kavanagh
211,2019-01-12,12:30 ,22,Sat,Home,W,1,0,Arsenal,0.6,0.7,42,"59,946",Mark Noble,4-2-3-1,3-4-3,Jonathan Moss
212,2019-01-19,15:00 ,23,Sat,Away,L,0,2,Bournemouth,1.1,1.1,61,"10,495",Mark Noble,4-2-3-1,4-4-2,Simon Hooper
213,2019-01-29,19:45 ,24,Tue,Away,L,0,3,Wolves,0.2,2.2,45,"31,122",Mark Noble,4-4-2,3-5-2,David Coote
214,2019-02-04,20:00 ,25,Mon,Home,D,1,1,Liverpool,0.8,1.1,27,"59,903",Mark Noble,4-1-4-1,4-3-3,Kevin Friend
215,2019-02-09,15:00 ,26,Sat,Away,D,1,1,Crystal Palace,1.7,2.6,42,"25,552",Mark Noble,4-1-4-1,4-3-3,Craig Pawson
216,2019-02-22,19:45 ,27,Fri,Home,W,3,1,Fulham,2.4,1.3,55,"59,950",Mark Noble,4-1-4-1,4-4-1-1,Lee Mason
217,2019-02-27,20:00 ,28,Wed,Away,L,0,1,Manchester City,0.4,3.5,25,"53,528",Andy Carroll,4-2-3-1,4-3-3,Stuart Attwell
218,2019-03-02,17:30 ,29,Sat,Home,W,2,0,Newcastle Utd,2.0,1.1,56,"59,910",Mark Noble,4-1-4-1,5-4-1,Chris Kavanagh
219,2019-03-09,15:00 ,30,Sat,Away,L,0,2,Cardiff City,0.3,3.5,70,"32,458",Mark Noble,4-1-4-1,4-2-3-1,Graham Scott
220,2019-03-16,15:00 ,31,Sat,Home,W,4,3,Huddersfield,1.7,1.0,64,"59,931",Mark Noble,4-1-4-1,4-2-3-1,Jonathan Moss
221,2019-03-30,17:30 ,32,Sat,Home,L,0,2,Everton,0.1,1.8,49,"59,988",Aaron Cresswell,4-4-2,4-2-3-1,Paul Tierney
222,2019-04-08,20:00 ,33,Mon,Away,L,0,2,Chelsea,0.6,1.9,47,"40,537",Mark Noble,4-2-3-1,4-3-3,Chris Kavanagh
223,2019-04-13,17:30 ,34,Sat,Away,L,1,2,Manchester Utd,1.4,2.5,57,"74,478",Mark Noble,4-1-4-1,4-2-3-1,Graham Scott
224,2019-04-20,15:00 ,35,Sat,Home,D,2,2,Leicester City,1.2,0.9,49,"59,960",Mark Noble,4-1-4-1,4-4-1-1,Lee Probert
225,2019-04-27,12:30 ,36,Sat,Away,W,1,0,Tottenham,1.1,1.6,38,"60,043",Mark Noble,4-1-4-1,4-1-2-1-2,Anthony Taylor
226,2019-05-04,15:00 ,37,Sat,Home,W,3,0,Southampton,1.9,0.5,56,"59,961",Mark Noble,4-1-4-1,4-4-2,Stuart Attwell
227,2019-05-12,15:00 ,38,Sun,Away,W,4,1,Watford,3.1,2.2,51,"20,067",Mark Noble,4-1-4-1,4-2-2-2,Chris Kavanagh
228,2017-08-13,16:00 ,1,Sun,Away,L,0,4,Manchester Utd,0.5,2.1,45,"74,928",Mark Noble,4-2-3-1,4-2-3-1,Martin Atkinson
229,2017-08-19,15:00 ,2,Sat,Away,L,2,3,Southampton,2.0,2.1,34,"31,424",Mark Noble,4-2-3-1,4-2-3-1,Lee Mason
230,2017-08-26,15:00 ,3,Sat,Away,L,0,3,Newcastle Utd,0.6,2.3,63,"52,093",Mark Noble,4-2-3-1,4-2-3-1,Niel Swarbrick
231,2017-09-11,20:00 ,4,Mon,Home,W,2,0,Huddersfield,1.7,0.4,44,"56,977",Winston Reid,3-4-3,4-2-3-1,Kevin Friend
232,2017-09-16,15:00 ,5,Sat,Away,D,0,0,West Brom,0.3,0.7,63,"24,942",Winston Reid,3-4-3,4-2-3-1,Paul Tierney
233,2017-09-23,12:30 ,6,Sat,Home,L,2,3,Tottenham,0.6,1.2,49,"56,988",Mark Noble,3-4-3,3-5-1-1,Michael Oliver
234,2017-09-30,15:00 ,7,Sat,Home,W,1,0,Swansea City,0.7,0.2,44,"56,922",Mark Noble,4-4-2,4-3-1-2,Roger East
235,2017-10-14,15:00 ,8,Sat,Away,D,1,1,Burnley,0.9,1.2,38,"20,945",Winston Reid,4-4-2,4-4-1-1,Stuart Attwell
236,2017-10-20,20:00 ,9,Fri,Home,L,0,3,Brighton,0.7,1.4,65,"56,977",Winston Reid,4-2-3-1,4-4-2,Martin Atkinson
237,2017-10-28,15:00 ,10,Sat,Away,D,2,2,Crystal Palace,0.8,2.6,45,"25,242",Mark Noble,3-5-2,4-4-2,Robert Madley
238,2017-11-04,17:30 ,11,Sat,Home,L,1,4,Liverpool,1.2,2.7,48,"56,961",Mark Noble,3-4-3,4-2-2-2,Niel Swarbrick
239,2017-11-19,16:00 ,12,Sun,Away,L,0,2,Watford,1.6,1.0,42,"20,018",Mark Noble,4-3-3,3-4-3,Andre Marriner
240,2017-11-24,20:00 ,13,Fri,Home,D,1,1,Leicester City,0.9,0.4,50,"56,897",Winston Reid,4-2-3-1,4-4-1-1,Martin Atkinson
241,2017-11-29,20:00 ,14,Wed,Away,L,0,4,Everton,1.1,1.5,56,"38,242",Winston Reid,4-1-4-1,4-1-4-1,Michael Oliver
242,2017-12-03,16:00 ,15,Sun,Away,L,1,2,Manchester City,0.6,2.3,24,"54,203",Pablo Zabaleta,3-5-1-1,4-3-3,Mike Dean
243,2017-12-09,12:30 ,16,Sat,Home,W,1,0,Chelsea,0.3,1.2,31,"56,953",Mark Noble,3-4-3,3-5-1-1,Anthony Taylor
244,2017-12-13,20:00 ,17,Wed,Home,D,0,0,Arsenal,0.4,1.0,31,"56,921",Mark Noble,5-3-2,4-3-3,Jonathan Moss
245,2017-12-16,16:00 ,18,Sat,Away,W,3,0,Stoke City,3.1,1.1,46,"29,265",Mark Noble,3-4-1-2,4-4-2,Graham Scott
246,2017-12-23,15:00 ,19,Sat,Home,L,2,3,Newcastle Utd,2.1,1.7,64,"56,955",Winston Reid,3-4-3,4-4-2,Lee Mason
247,2017-12-26,15:00 ,20,Tue,Away,D,3,3,Bournemouth,1.7,2.9,45,"10,596",James Collins,3-4-3,4-4-1-1,Stuart Attwell
248,2018-01-02,19:45 ,22,Tue,Home,W,2,1,West Brom,1.3,1.0,53,"56,888",Winston Reid,3-4-3,4-2-3-1,Mike Jones
249,2018-01-04,20:00 ,21,Thu,Away,D,1,1,Tottenham,0.5,1.8,30,"50,034",Mark Noble,3-5-1-1,4-2-3-1,Mike Dean
250,2018-01-13,15:00 ,23,Sat,Away,W,4,1,Huddersfield,0.9,0.7,37,"24,105",Mark Noble,3-5-1-1,4-2-3-1,Jonathan Moss
251,2018-01-20,15:00 ,24,Sat,Home,D,1,1,Bournemouth,0.8,0.5,48,"56,948",Mark Noble,3-5-1-1,3-4-3,Martin Atkinson
252,2018-01-30,19:45 ,25,Tue,Home,D,1,1,Crystal Palace,1.1,0.9,41,"56,911",Mark Noble,3-4-3,4-4-2,Niel Swarbrick
253,2018-02-03,15:00 ,26,Sat,Away,L,1,3,Brighton,0.4,1.7,45,"30,589",Mark Noble,3-4-3,4-4-1-1,Roger East
254,2018-02-10,15:00 ,27,Sat,Home,W,2,0,Watford,1.5,0.6,37,"56,197",Mark Noble,3-4-3,3-4-3,Graham Scott
255,2018-02-24,15:00 ,28,Sat,Away,L,1,4,Liverpool,0.4,4.0,33,"53,256",Mark Noble,3-4-3,4-3-3,Stuart Attwell
256,2018-03-03,15:00 ,29,Sat,Away,L,1,4,Swansea City,0.4,1.8,54,"20,829",Mark Noble,3-4-3,5-4-1,Martin Atkinson
257,2018-03-10,15:00 ,30,Sat,Home,L,0,3,Burnley,0.8,1.4,52,"56,904",Mark Noble,3-4-3,4-4-1-1,Lee Mason
258,2018-03-31,15:00 ,32,Sat,Home,W,3,0,Southampton,1.4,0.5,49,"56,882",Mark Noble,3-4-3,4-4-2,Jonathan Moss
259,2018-04-08,16:30 ,33,Sun,Away,D,1,1,Chelsea,0.3,1.7,41,"41,324",Mark Noble,3-4-3,3-4-3,Kevin Friend
260,2018-04-16,20:00 ,34,Mon,Home,D,1,1,Stoke City,0.8,1.7,63,"56,795",Mark Noble,3-4-3,4-4-1-1,Michael Oliver
261,2018-04-22,13:30 ,35,Sun,Away,L,1,4,Arsenal,0.8,1.8,33,"59,422",Mark Noble,3-4-3,4-3-3,Lee Mason
262,2018-04-29,14:15 ,36,Sun,Home,L,1,4,Manchester City,0.2,2.4,26,"56,904",Mark Noble,3-5-1-1,4-3-3,Niel Swarbrick
263,2018-05-05,15:00 ,37,Sat,Away,W,2,0,Leicester City,1.6,0.5,47,"32,013",Mark Noble,3-4-3,4-4-1-1,Chris Kavanagh
264,2018-05-10,19:45 ,31,Thu,Home,D,0,0,Manchester Utd,0.6,0.8,44,"56,902",Mark Noble,3-4-3,5-3-2,Jonathan Moss
265,2018-05-13,15:00 ,38,Sun,Home,W,3,1,Everton,1.1,1.6,57,"56,926",Mark Noble,3-4-3,3-1-4-2,Graham Scott
