,Date,Time,Matchweek,Day,Venue,Result,Goals Scored,Goals Conceded,Opponent,xG,xGA,Possession,Attendance,Captain,Formation,Opposition Formation,Referee
0,2017-08-12,15:00 ,1,Sat,Away,L,0,1,Everton,0.4,0.6,40,"39,045",Ryan Shawcross,3-4-3,3-4-3,Niel Swarbrick
1,2017-08-19,17:30 ,2,Sat,Home,W,1,0,Arsenal,0.7,1.5,24,"29,459",Ryan Shawcross,3-4-3,3-4-3,Andre Marriner
2,2017-08-27,13:30 ,3,Sun,Away,D,1,1,West Brom,1.3,0.8,57,"22,704",Ryan Shawcross,3-4-3,4-2-3-1,Anthony Taylor
3,2017-09-09,17:30 ,4,Sat,Home,D,2,2,Manchester Utd,1.2,2.1,37,"29,320",Darren Fletcher,3-4-3,4-3-3,Niel Swarbrick
4,2017-09-16,15:00 ,5,Sat,Away,L,1,2,Newcastle Utd,0.7,2.0,58,"51,795",Darren Fletcher,3-4-3,4-2-3-1,Stuart Attwell
5,2017-09-23,15:00 ,6,Sat,Home,L,0,4,Chelsea,0.8,1.4,45,"29,661",Darren Fletcher,3-4-3,3-4-3,Mike Dean
6,2017-09-30,15:00 ,7,Sat,Home,W,2,1,Southampton,2.4,1.4,30,"29,285",Darren Fletcher,3-4-3,4-2-3-1,Mike Jones
7,2017-10-14,15:00 ,8,Sat,Away,L,2,7,Manchester City,0.5,3.8,21,"54,128",Darren Fletcher,4-4-1-1,4-3-3,Craig Pawson
8,2017-10-21,15:00 ,9,Sat,Home,L,1,2,Bournemouth,1.2,1.1,53,"29,500",Ryan Shawcross,3-4-3,4-4-1-1,Lee Probert
9,2017-10-28,15:00 ,10,Sat,Away,W,1,0,Watford,1.1,1.2,31,"20,087",Ryan Shawcross,3-4-3,4-2-3-1,Michael Oliver
10,2017-11-04,12:30 ,11,Sat,Home,D,2,2,Leicester City,1.0,1.5,47,"29,602",Ryan Shawcross,3-4-3,4-4-1-1,Robert Madley
11,2017-11-20,20:00 ,12,Mon,Away,D,2,2,Brighton,1.0,0.5,47,"29,676",Ryan Shawcross,3-4-3,4-4-1-1,Lee Mason
12,2017-11-25,15:00 ,13,Sat,Away,L,1,2,Crystal Palace,0.7,1.4,46,"23,723",Ryan Shawcross,3-4-3,4-4-2,Mike Dean
13,2017-11-29,20:00 ,14,Wed,Home,L,0,3,Liverpool,0.9,2.9,41,"29,423",Ryan Shawcross,3-4-3,4-2-3-1,Martin Atkinson
14,2017-12-02,15:00 ,15,Sat,Home,W,2,1,Swansea City,1.1,0.4,45,"28,261",Ryan Shawcross,4-4-2,4-1-2-1-2,Craig Pawson
15,2017-12-09,15:00 ,16,Sat,Away,L,1,5,Tottenham,0.5,3.6,29,"62,202",Ryan Shawcross,3-4-3,4-2-3-1,Roger East
16,2017-12-12,19:45 ,17,Tue,Away,L,0,1,Burnley,1.1,0.4,49,"19,909",Ryan Shawcross,4-4-2,4-4-1-1,Mike Jones
17,2017-12-16,16:00 ,18,Sat,Home,L,0,3,West Ham,1.1,3.1,54,"29,265",Ryan Shawcross,4-4-2,3-4-1-2,Graham Scott
18,2017-12-23,15:00 ,19,Sat,Home,W,3,1,West Brom,1.4,2.0,43,"29,057",Ryan Shawcross,4-2-3-1,4-4-2,Niel Swarbrick
19,2017-12-26,15:00 ,20,Tue,Away,D,1,1,Huddersfield,1.6,1.8,41,"24,047",Ryan Shawcross,4-2-3-1,4-2-3-1,Anthony Taylor
20,2017-12-30,15:00 ,21,Sat,Away,L,0,5,Chelsea,0.2,2.6,41,"41,433",Darren Fletcher,4-2-3-1,3-4-3,Kevin Friend
21,2018-01-01,15:00 ,22,Mon,Home,L,0,1,Newcastle Utd,1.5,1.7,59,"28,471",Joe Allen,4-3-3,4-2-3-1,Chris Kavanagh
22,2018-01-15,20:00 ,23,Mon,Away,L,0,3,Manchester Utd,1.3,1.5,40,"74,726",Darren Fletcher,4-2-3-1,4-2-3-1,Anthony Taylor
23,2018-01-20,15:00 ,24,Sat,Home,W,2,0,Huddersfield,1.0,0.3,49,"29,785",Ryan Shawcross,4-2-3-1,4-2-3-1,Michael Oliver
24,2018-01-31,20:00 ,25,Wed,Home,D,0,0,Watford,0.9,0.7,49,"27,458",Ryan Shawcross,4-2-3-1,4-3-3,Jonathan Moss
25,2018-02-03,15:00 ,26,Sat,Away,L,1,2,Bournemouth,0.7,1.7,43,"10,614",Ryan Shawcross,4-3-3,3-4-3,Paul Tierney
26,2018-02-10,15:00 ,27,Sat,Home,D,1,1,Brighton,1.4,1.1,58,"29,876",Ryan Shawcross,4-3-3,4-4-1-1,Robert Madley
27,2018-02-24,12:30 ,28,Sat,Away,D,1,1,Leicester City,0.2,1.2,35,"31,769",Jack Butland,4-1-4-1,4-2-3-1,Michael Oliver
28,2018-03-03,15:00 ,29,Sat,Away,D,0,0,Southampton,0.8,0.9,35,"30,335",Jack Butland,4-1-4-1,4-2-3-1,Anthony Taylor
29,2018-03-12,20:00 ,30,Mon,Home,L,0,2,Manchester City,0.4,1.6,24,"29,138",Jack Butland,4-3-3,4-3-3,Jonathan Moss
30,2018-03-17,15:00 ,31,Sat,Home,L,1,2,Everton,0.8,2.3,43,"30,022",Ryan Shawcross,4-3-3,4-2-3-1,Martin Atkinson
31,2018-04-01,13:30 ,32,Sun,Away,L,0,3,Arsenal,0.4,3.3,31,"59,371",Ryan Shawcross,4-4-1-1,4-2-3-1,Craig Pawson
32,2018-04-07,15:00 ,33,Sat,Home,L,1,2,Tottenham,1.4,1.7,35,"29,515",Ryan Shawcross,4-4-1-1,4-2-3-1,Graham Scott
33,2018-04-16,20:00 ,34,Mon,Away,D,1,1,West Ham,1.7,0.8,37,"56,795",Ryan Shawcross,4-4-1-1,3-4-3,Michael Oliver
34,2018-04-22,13:30 ,35,Sun,Home,D,1,1,Burnley,0.4,1.6,44,"29,532",Ryan Shawcross,4-4-2,4-4-2,Mike Dean
35,2018-04-28,12:30 ,36,Sat,Away,D,0,0,Liverpool,0.6,1.9,29,"53,255",Ryan Shawcross,4-4-2,4-3-3,Andre Marriner
36,2018-05-05,12:30 ,37,Sat,Home,L,1,2,Crystal Palace,0.5,1.1,41,"29,687",Ryan Shawcross,4-4-2,4-4-2,Martin Atkinson
37,2018-05-13,15:00 ,38,Sun,Away,W,2,1,Swansea City,1.6,3.0,43,"20,673",Ryan Shawcross,4-3-3,4-4-2,Anthony Taylor
