,Date,Time,Matchweek,Day,Venue,Result,Goals Scored,Goals Conceded,Opponent,xG,xGA,Possession,Attendance,Captain,Formation,Opposition Formation,Referee
0,2023-08-12,15:00 ,1,Sat,Home,D,1,1,West Ham,1.3,1.1,62,"11,245",Neto,4-2-3-1,4-2-3-1,Peter Bankes
1,2023-08-19,15:00 ,2,Sat,Away,L,1,3,Liverpool,1.3,3.0,36,"53,145",Neto,4-2-3-1,4-3-3,Thomas Bramall
2,2023-08-26,12:30 ,3,Sat,Home,L,0,2,Tottenham,0.7,2.1,44,"10,567",Neto,4-2-3-1,4-2-3-1,Tim Robinson
3,2023-09-02,15:00 ,4,Sat,Away,D,2,2,Brentford,2.1,2.9,40,"16,973",Neto,4-2-3-1,4-3-3,Robert Madley
4,2023-09-17,14:00 ,5,Sun,Home,D,0,0,Chelsea,1.0,1.8,36,"10,421",Neto,4-2-3-1,4-2-3-1,David Coote
5,2023-09-24,14:00 ,6,Sun,Away,L,1,3,Brighton,1.1,1.9,39,"31,617",Neto,4-2-3-1,4-2-3-1,John Brooks
6,2023-09-30,15:00 ,7,Sat,Home,L,0,4,Arsenal,0.6,3.4,43,"11,193",Neto,4-2-3-1,4-3-3,Michael Salisbury
7,2023-10-07,15:00 ,8,Sat,Away,L,0,3,Everton,0.7,2.4,52,"38,815",Neto,4-2-3-1,4-4-1-1,David Coote
8,2023-10-21,15:00 ,9,Sat,Home,L,1,2,Wolves,0.6,2.4,35,"11,175",Neto,4-2-3-1,3-4-3,Paul Tierney
9,2023-10-28,15:00 ,10,Sat,Home,W,2,1,Burnley,1.1,0.8,45,"11,152",Lloyd Kelly,4-2-3-1,4-3-3,Samuel Barrott
10,2023-11-04,15:00 ,11,Sat,Away,L,1,6,Manchester City,0.9,1.9,35,"53,358",Lloyd Kelly,5-4-1,3-4-3,Craig Pawson
11,2023-11-11,17:30 ,12,Sat,Home,W,2,0,Newcastle Utd,2.4,0.5,48,"11,201",Neto,4-2-3-1,4-3-3,Chris Kavanagh
12,2023-11-25,15:00 ,13,Sat,Away,W,3,1,Sheffield Utd,2.9,0.8,54,"30,208",Neto,4-2-3-1,3-4-3,Andy Madley
13,2023-12-03,14:00 ,14,Sun,Home,D,2,2,Aston Villa,2.0,0.7,38,"11,191",Neto,4-2-3-1,4-4-2,Thomas Bramall
14,2023-12-06,19:30 ,15,Wed,Away,W,2,0,Crystal Palace,1.8,1.0,41,"25,078",Neto,4-2-3-1,4-2-3-1,Craig Pawson
15,2023-12-09,15:00 ,16,Sat,Away,W,3,0,Manchester Utd,1.5,1.1,32,"73,427",Neto,4-2-3-1,4-2-3-1,Peter Bankes
16,2023-12-23,15:00 ,18,Sat,Away,W,3,2,Nott'ham Forest,1.6,1.0,66,"29,188",Neto,4-2-3-1,4-2-3-1,Robert Jones
17,2023-12-26,15:00 ,19,Tue,Home,W,3,0,Fulham,1.8,0.3,43,"11,099",Neto,4-2-3-1,4-2-3-1,Tim Robinson
18,2023-12-31,14:00 ,20,Sun,Away,L,1,3,Tottenham,1.7,2.3,50,"61,780",Neto,4-2-3-1,4-3-3,Simon Hooper
19,2024-01-21,16:30 ,21,Sun,Home,L,0,4,Liverpool,1.4,1.5,40,"11,228",Neto,4-2-3-1,4-3-3,Andy Madley
20,2024-02-01,19:30 ,22,Thu,Away,D,1,1,West Ham,1.2,1.4,52,"62,478",Neto,4-2-3-1,4-3-2-1,Tim Robinson
21,2024-02-04,14:00 ,23,Sun,Home,D,1,1,Nott'ham Forest,1.3,0.5,45,"11,200",Neto,4-2-3-1,4-2-3-1,Rebecca Welch
22,2024-02-10,15:00 ,24,Sat,Away,L,1,3,Fulham,1.8,1.6,51,"24,271",Neto,4-2-3-1,4-2-3-1,Darren England
23,2024-02-17,15:00 ,25,Sat,Away,D,2,2,Newcastle Utd,2.2,2.2,38,"52,224",Neto,4-2-3-1,4-3-3,Michael Salisbury
24,2024-02-24,17:30 ,26,Sat,Home,L,0,1,Manchester City,0.9,1.6,38,"11,184",Neto,4-2-3-1,3-2-4-1,Jarred Gillett
