,Date,Time,Matchweek,Day,Venue,Result,Goals Scored,Goals Conceded,Opponent,xG,xGA,Possession,Attendance,Captain,Formation,Opposition Formation,Referee
0,2023-08-12,17:30 ,1,Sat,Away,L,1,5,Newcastle Utd,1.8,3.3,48,"52,207",John McGinn,4-2-3-1,4-3-3,Andy Madley
1,2023-08-20,14:00 ,2,Sun,Home,W,4,0,Everton,2.9,0.6,60,"41,694",John McGinn,4-2-3-1,4-1-4-1,Anthony Taylor
2,2023-08-27,14:00 ,3,Sun,Away,W,3,1,Burnley,2.5,0.7,43,"21,591",John McGinn,3-4-3,4-4-2,Michael Salisbury
3,2023-09-03,14:00 ,4,Sun,Away,L,0,3,Liverpool,0.7,2.5,37,"50,109",John McGinn,4-4-2,4-3-3,Simon Hooper
4,2023-09-16,15:00 ,5,Sat,Home,W,3,1,Crystal Palace,3.0,1.2,66,"40,809",John McGinn,4-2-3-1,4-4-1-1,Darren England
5,2023-09-24,14:00 ,6,Sun,Away,W,1,0,Chelsea,1.0,1.3,47,"39,700",John McGinn,4-2-3-1,4-2-3-1,Jarred Gillett
6,2023-09-30,12:30 ,7,Sat,Home,W,6,1,Brighton,1.6,1.7,39,"40,636",John McGinn,4-2-3-1,4-2-3-1,Andy Madley
7,2023-10-08,14:00 ,8,Sun,Away,D,1,1,Wolves,1.6,1.7,53,"31,425",John McGinn,4-4-2,3-4-3,Robert Jones
8,2023-10-22,16:30 ,9,Sun,Home,W,4,1,West Ham,1.9,1.1,58,"41,734",John McGinn,4-4-2,4-2-3-1,David Coote
9,2023-10-29,14:00 ,10,Sun,Home,W,3,1,Luton Town,2.3,0.5,70,"41,785",John McGinn,4-4-2,3-4-3,John Brooks
10,2023-11-05,14:00 ,11,Sun,Away,L,0,2,Nott'ham Forest,1.2,0.4,73,"29,313",John McGinn,4-4-2,4-3-3,Jarred Gillett
11,2023-11-12,14:00 ,12,Sun,Home,W,3,1,Fulham,3.0,0.9,51,"41,608",John McGinn,4-2-2-2,4-2-3-1,Simon Hooper
12,2023-11-26,14:00 ,13,Sun,Away,W,2,1,Tottenham,1.7,2.3,38,"61,679",John McGinn,4-4-2,4-2-3-1,Robert Jones
13,2023-12-03,14:00 ,14,Sun,Away,D,2,2,Bournemouth,0.7,2.0,62,"11,191",John McGinn,4-4-2,4-2-3-1,Thomas Bramall
14,2023-12-06,20:15 ,15,Wed,Home,W,1,0,Manchester City,2.3,0.6,46,"41,421",John McGinn,4-4-1-1,3-2-4-1,John Brooks
15,2023-12-09,17:30 ,16,Sat,Home,W,1,0,Arsenal,0.6,1.4,39,"42,000",John McGinn,4-4-1-1,4-3-3,Jarred Gillett
16,2023-12-17,14:00 ,17,Sun,Away,W,2,1,Brentford,1.4,0.5,66,"17,034",John McGinn,3-5-2,3-5-2,David Coote
17,2023-12-22,20:00 ,18,Fri,Home,D,1,1,Sheffield Utd,0.9,0.6,77,"41,651",John McGinn,4-4-1-1,3-4-3,Anthony Taylor
18,2023-12-26,20:00 ,19,Tue,Away,L,2,3,Manchester Utd,1.7,1.1,54,"73,574",John McGinn,4-2-3-1,4-2-3-1,Craig Pawson
19,2023-12-30,15:00 ,20,Sat,Home,W,3,2,Burnley,3.2,1.2,64,"41,613",John McGinn,4-4-1-1,4-4-2,Stuart Attwell
20,2024-01-14,14:00 ,21,Sun,Away,D,0,0,Everton,1.2,1.1,68,"39,284",John McGinn,4-4-2,4-2-3-1,David Coote
21,2024-01-30,20:15 ,22,Tue,Home,L,1,3,Newcastle Utd,1.4,2.6,61,"42,191",John McGinn,4-4-2,4-3-3,John Brooks
