,Date,Time,Matchweek,Day,Venue,Result,Goals Scored,Goals Conceded,Opponent,xG,xGA,Possession,Attendance,Captain,Formation,Opposition Formation,Referee
39,2022-08-13,15:00 ,2,Sat,Home,W,4,0,Bournemouth,1.7,0.1,67,"53,453",İlkay Gündoğan,4-2-3-1,3-4-3,David Coote
40,2022-08-21,16:30 ,3,Sun,Away,D,3,3,Newcastle Utd,2.1,1.8,69,"52,258",İlkay Gündoğan,4-3-3,4-3-3,Jarred Gillett
41,2022-08-27,15:00 ,4,Sat,Home,W,4,2,Crystal Palace,2.2,0.1,74,"53,112",Kevin De Bruyne,4-2-3-1,5-4-1,Darren England
42,2022-08-31,19:30 ,5,Wed,Home,W,6,0,Nott'ham Forest,3.3,0.7,74,"53,409",İlkay Gündoğan,4-2-3-1,5-3-2,Paul Tierney
43,2022-09-03,17:30 ,6,Sat,Away,D,1,1,Aston Villa,2.1,0.3,71,"41,830",İlkay Gündoğan,4-3-3,4-3-2-1,Simon Hooper
44,2022-09-17,12:30 ,8,Sat,Away,W,3,0,Wolves,1.1,0.4,59,"31,578",Kevin De Bruyne,4-3-3,4-3-3,Anthony Taylor
45,2022-10-02,14:00 ,9,Sun,Home,W,6,3,Manchester Utd,3.2,1.7,53,"53,475",İlkay Gündoğan,4-3-3,4-2-3-1,Michael Oliver
46,2022-10-08,15:00 ,10,Sat,Home,W,4,0,Southampton,2.4,0.2,65,"53,365",Kevin De Bruyne,4-2-3-1,4-4-2,Andy Madley
47,2022-10-16,16:30 ,11,Sun,Away,L,0,1,Liverpool,1.0,2.1,63,"53,286",İlkay Gündoğan,3-4-3,4-2-3-1,Anthony Taylor
48,2022-10-22,15:00 ,13,Sat,Home,W,3,1,Brighton,1.6,0.5,48,"53,223",Kevin De Bruyne,4-3-3,3-4-1-2,Craig Pawson
49,2022-10-29,12:30 ,14,Sat,Away,W,1,0,Leicester City,1.0,0.7,64,"32,223",İlkay Gündoğan,4-3-3,3-4-3,Robert Jones
50,2022-11-05,15:00 ,15,Sat,Home,W,2,1,Fulham,2.1,1.0,70,"52,395",İlkay Gündoğan,4-3-3,4-2-3-1,Darren England
51,2022-11-12,12:30 ,16,Sat,Home,L,1,2,Brentford,1.6,1.3,74,"52,786",İlkay Gündoğan,4-3-3,3-5-2,Peter Bankes
52,2022-12-28,20:00 ,17,Wed,Away,W,3,1,Leeds United,4.3,0.6,69,"36,889",İlkay Gündoğan,4-3-3,4-3-3,Stuart Attwell
53,2022-12-31,15:00 ,18,Sat,Home,D,1,1,Everton,1.7,0.1,74,"53,444",Kevin De Bruyne,4-3-3,5-3-2,Andy Madley
54,2023-01-05,20:00 ,19,Thu,Away,W,1,0,Chelsea,2.0,0.4,52,"39,998",İlkay Gündoğan,3-2-4-1,4-2-3-1,Paul Tierney
55,2023-01-14,12:30 ,20,Sat,Away,L,1,2,Manchester Utd,0.6,1.7,70,"75,546",Kevin De Bruyne,4-3-3,4-2-3-1,Stuart Attwell
56,2023-01-19,20:00 ,7,Thu,Home,W,4,2,Tottenham,2.3,0.8,58,"53,088",İlkay Gündoğan,4-2-3-1,3-4-3,Simon Hooper
57,2023-01-22,14:00 ,21,Sun,Home,W,3,0,Wolves,2.8,0.8,55,"53,282",İlkay Gündoğan,3-2-4-1,4-3-3,David Coote
58,2023-02-05,16:30 ,22,Sun,Away,L,0,1,Tottenham,1.3,1.4,64,"61,747",Kyle Walker,4-4-2,3-4-3,Andy Madley
59,2023-02-12,16:30 ,23,Sun,Home,W,3,1,Aston Villa,3.3,0.3,67,"53,392",İlkay Gündoğan,3-2-4-1,4-4-2,Robert Jones
60,2023-02-15,19:30 ,12,Wed,Away,W,3,1,Arsenal,1.8,1.6,37,"60,276",İlkay Gündoğan,4-1-4-1,4-3-3,Anthony Taylor
61,2023-02-18,15:00 ,24,Sat,Away,D,1,1,Nott'ham Forest,2.4,0.9,73,"29,365",İlkay Gündoğan,3-2-4-1,4-3-2-1,Graham Scott
62,2023-02-25,17:30 ,25,Sat,Away,W,4,1,Bournemouth,2.4,1.0,66,"10,481",İlkay Gündoğan,3-2-4-1,5-4-1,Paul Tierney
63,2023-03-04,12:30 ,26,Sat,Home,W,2,0,Newcastle Utd,1.3,0.4,56,"53,419",İlkay Gündoğan,4-2-3-1,4-3-3,Simon Hooper
64,2023-03-11,17:30 ,27,Sat,Away,W,1,0,Crystal Palace,2.1,0.2,67,"25,844",İlkay Gündoğan,4-2-3-1,4-3-3,Robert Jones
65,2023-04-01,12:30 ,29,Sat,Home,W,4,1,Liverpool,2.9,0.3,68,"52,877",İlkay Gündoğan,3-2-4-1,4-3-3,Simon Hooper
66,2023-04-08,17:30 ,30,Sat,Away,W,4,1,Southampton,2.9,0.4,73,"30,963",İlkay Gündoğan,3-2-4-1,4-4-2,Robert Jones
