,Date,Time,Matchweek,Day,Venue,Result,Goals Scored,Goals Conceded,Opponent,xG,xGA,Possession,Attendance,Captain,Formation,Opposition Formation,Referee
0,2021-08-14,17:30 ,1,Sat,Home,L,0,3,Liverpool,1.4,1.6,50,"27,023",Grant Hanley,4-3-3,4-3-3,Andre Marriner
1,2021-08-21,15:00 ,2,Sat,Away,L,0,5,Manchester City,0.1,2.6,33,"51,437",Grant Hanley,4-3-3,4-3-3,Graham Scott
2,2021-08-28,15:00 ,3,Sat,Home,L,1,2,Leicester City,1.5,1.5,45,"26,765",Grant Hanley,4-3-3,4-4-2,Robert Jones
3,2021-09-11,15:00 ,4,Sat,Away,L,0,1,Arsenal,0.7,2.7,49,"58,000",Grant Hanley,4-3-3,4-2-3-1,Michael Oliver
4,2021-09-18,15:00 ,5,Sat,Home,L,1,3,Watford,1.0,2.4,49,"26,649",Grant Hanley,4-3-3,4-2-3-1,Robert Jones
5,2021-09-25,15:00 ,6,Sat,Away,L,0,2,Everton,0.5,1.9,53,"38,821",Grant Hanley,5-3-2,4-4-1-1,David Coote
6,2021-10-02,15:00 ,7,Sat,Away,D,0,0,Burnley,0.6,1.2,44,"17,427",Grant Hanley,5-3-2,4-4-2,Kevin Friend
7,2021-10-16,15:00 ,8,Sat,Home,D,0,0,Brighton,1.2,0.8,36,"26,777",Grant Hanley,5-3-2,3-5-2,Peter Bankes
8,2021-10-23,12:30 ,9,Sat,Away,L,0,7,Chelsea,0.1,3.1,38,"40,113",Grant Hanley,3-5-2,3-4-3,Andy Madley
9,2021-10-31,14:00 ,10,Sun,Home,L,1,2,Leeds United,0.8,0.7,48,"26,913",Grant Hanley,4-4-2,3-3-3-1,Anthony Taylor
10,2021-11-06,15:00 ,11,Sat,Away,W,2,1,Brentford,1.2,2.5,36,"16,837",Ben Gibson,4-2-3-1,3-5-2,Jarred Gillett
11,2021-11-20,15:00 ,12,Sat,Home,W,2,1,Southampton,0.5,1.0,38,"26,885",Grant Hanley,4-3-3,4-4-2,Martin Atkinson
12,2021-11-27,15:00 ,13,Sat,Home,D,0,0,Wolves,1.6,0.3,43,"26,911",Grant Hanley,4-1-4-1,3-4-3,Simon Hooper
13,2021-11-30,19:30 ,14,Tue,Away,D,1,1,Newcastle Utd,1.2,1.1,68,"50,757",Grant Hanley,4-1-4-1,4-4-2,Andy Madley
14,2021-12-05,14:00 ,15,Sun,Away,L,0,3,Tottenham,1.2,1.6,59,"57,088",Grant Hanley,5-3-2,3-4-3,Jarred Gillett
15,2021-12-11,17:30 ,16,Sat,Home,L,0,1,Manchester Utd,1.2,2.0,48,"27,606",Grant Hanley,4-3-3,4-2-2-2,Darren England
