,Date,Time,Matchweek,Day,Venue,Result,Goals Scored,Goals Conceded,Opponent,xG,xGA,Possession,Attendance,Captain,Formation,Opposition Formation,Referee
0,2018-08-11,15:00 ,1,Sat,Away,L,0,2,Bournemouth,1.4,2.2,37,"10,353",Sean Morrison,4-1-4-1,4-4-2,Kevin Friend
1,2018-08-18,12:30 ,2,Sat,Home,D,0,0,Newcastle Utd,0.9,1.6,51,"30,720",Sean Morrison,4-3-3,4-4-1-1,Craig Pawson
2,2018-08-25,15:00 ,3,Sat,Away,D,0,0,Huddersfield,0.9,0.2,43,"21,193",Sean Morrison,4-1-4-1,4-2-3-1,Michael Oliver
3,2018-09-02,13:30 ,4,Sun,Home,L,2,3,Arsenal,1.0,1.7,28,"32,316",Sean Morrison,4-4-2,4-2-3-1,Anthony Taylor
4,2018-09-15,15:00 ,5,Sat,Away,L,1,4,Chelsea,0.7,2.6,24,"40,499",Sean Morrison,4-4-1-1,4-3-3,Jonathan Moss
5,2018-09-22,15:00 ,6,Sat,Home,L,0,5,Manchester City,0.1,2.5,22,"32,321",Sean Morrison,4-4-1-1,4-3-3,Michael Oliver
6,2018-09-30,16:00 ,7,Sun,Home,L,1,2,Burnley,1.7,0.3,54,"30,411",Sean Morrison,4-4-1-1,4-4-1-1,Martin Atkinson
7,2018-10-06,15:00 ,8,Sat,Away,L,0,1,Tottenham,1.2,2.0,25,"43,268",Sean Morrison,4-1-4-1,4-4-2,Mike Dean
8,2018-10-20,15:00 ,9,Sat,Home,W,4,2,Fulham,1.5,0.7,41,"29,681",Sean Morrison,4-4-1-1,4-3-3,Kevin Friend
9,2018-10-27,15:00 ,10,Sat,Away,L,1,4,Liverpool,0.8,2.4,22,"53,373",Sean Morrison,4-4-1-1,4-2-3-1,Stuart Attwell
10,2018-11-03,15:00 ,11,Sat,Home,L,0,1,Leicester City,0.9,2.1,41,"30,877",Sean Morrison,4-4-1-1,4-2-3-1,Lee Probert
