,Date,Time,Matchweek,Day,Venue,Result,Goals Scored,Goals Conceded,Opponent,xG,xGA,Possession,Attendance,Captain,Formation,Opposition Formation,Referee
0,2022-08-06,15:00 ,1,Sat,Home,W,2,1,Wolves,0.8,1.3,40,"36,347",Patrick Bamford,4-2-3-1,4-2-3-1,Robert Jones
1,2022-08-13,15:00 ,2,Sat,Away,D,2,2,Southampton,1.8,1.2,57,"30,815",Patrick Bamford,4-2-3-1,3-4-3,Tony Harrington
2,2022-08-21,14:00 ,3,Sun,Home,W,3,0,Chelsea,2.1,0.9,39,"36,372",Rodrigo,4-2-3-1,3-5-2,Stuart Attwell
3,2022-08-27,15:00 ,4,Sat,Away,L,0,1,Brighton,1.8,2.0,56,"30,953",Rodrigo,4-2-3-1,4-4-2,Michael Salisbury
4,2022-08-30,20:00 ,5,Tue,Home,D,1,1,Everton,1.0,1.0,69,"36,338",Rodrigo,4-2-3-1,4-3-3,Darren England
5,2022-09-03,15:00 ,6,Sat,Away,L,2,5,Brentford,1.7,2.3,68,"17,092",Robin Koch,4-2-3-1,4-3-3,Robert Jones
6,2022-10-02,16:30 ,9,Sun,Home,D,0,0,Aston Villa,0.4,2.2,44,"36,582",Liam Cooper,4-2-3-1,4-3-3,Stuart Attwell
7,2022-10-09,14:00 ,10,Sun,Away,L,1,2,Crystal Palace,1.0,1.1,46,"25,042",Liam Cooper,4-2-3-1,4-3-3,Paul Tierney
8,2022-10-16,14:00 ,11,Sun,Home,L,0,1,Arsenal,1.8,0.5,47,"36,700",Liam Cooper,4-2-3-1,4-3-3,Chris Kavanagh
9,2022-10-20,20:15 ,12,Thu,Away,L,0,2,Leicester City,1.3,0.8,54,"30,814",Patrick Bamford,4-2-3-1,4-1-4-1,Peter Bankes
10,2022-10-23,14:00 ,13,Sun,Home,L,2,3,Fulham,1.6,1.8,57,"36,447",Liam Cooper,4-2-3-1,4-2-3-1,Anthony Taylor
