Unnamed: 0,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
10,2017-09-17,Sun,5,Home,W 4–0,Manchester Utd,Everton,Y*,RB,90,1,0,0,0,1,1,0,0,51,1,0,2,0.0,0.0,0.0,0,0,31,44,3,32,4,2,1,441,161,20,22,7,11,3,8,0.0,0,4,0,0,39,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,7,26,19,1,214.0,120.0,2,1,0,1,36,2,3,35,1,2.5,4.8,36.2,2017-09-17 15:00:00+00:00,90,0,5,0,470771,9.0,15,-19285,11396,30681,65,2017-09-17
11,2017-09-23,Sat,6,Away,W 1–0,Manchester Utd,Southampton,Y*,"RB,WB",90,0,0,0,0,0,0,1,0,47,0,1,1,0.0,0.0,0.0,0,0,27,35,0,19,0,0,0,393,199,13,14,9,11,2,6,0.0,0,2,0,0,32,3,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,6,0,6,14,22,12,0,96.0,37.0,1,0,2,0,29,3,0,21,1,2.9,1.0,7.0,2017-09-23 14:00:00+00:00,90,0,6,0,574499,0.0,5,77227,96731,19504,65,2017-09-23
12,2017-09-30,Sat,7,Home,W 4–0,Manchester Utd,Crystal Palace,Y,RB,90,0,0,0,0,2,0,0,0,91,3,0,3,0.1,0.1,0.0,1,0,71,78,4,50,1,2,1,1045,350,36,37,20,20,6,9,0.0,0,3,0,0,72,5,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,2,4,0,8,23,53,16,0,225.0,83.0,1,0,1,1,65,1,0,31,1,3.8,4.3,23.4,2017-09-30 14:00:00+00:00,90,0,7,0,614845,16.0,6,21550,77712,56162,66,2017-09-30
13,2017-10-14,Sat,8,Away,D 0–0,Manchester Utd,Liverpool,Y*,RB,90,0,0,0,0,0,0,0,0,56,2,0,1,0.0,0.0,0.0,1,0,32,44,1,21,2,2,2,344,153,22,23,6,11,1,4,0.0,0,1,0,0,31,13,0,0,0,1,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,6,0,7,16,24,17,0,145.0,84.0,3,0,1,0,28,1,0,24,1,2.2,1.6,13.4,2017-10-14 11:30:00+00:00,90,0,8,0,628356,0.0,6,-2532,35338,37870,66,2017-10-14
14,2017-10-21,Sat,9,Away,L 1–2,Manchester Utd,Huddersfield,Y*,"RB,WB",90,0,0,0,0,0,0,0,0,81,2,2,1,0.0,0.0,0.0,1,0,69,76,3,49,6,2,1,1039,320,35,35,26,29,6,9,0.0,0,1,0,0,68,8,2,0,1,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,3,11,36,34,0,329.0,216.0,6,0,0,2,62,4,0,13,0,7.6,2.1,11.8,2017-10-21 14:00:00+00:00,90,0,9,0,753486,2.0,1,111746,122834,11088,66,2017-10-21
15,2017-10-28,Sat,10,Home,W 1–0,Manchester Utd,Tottenham,Y*,WB,90,0,0,0,0,2,0,1,0,69,1,1,4,0.1,0.1,0.0,1,0,43,51,2,28,1,1,0,517,248,29,31,11,14,1,1,0.1,0,2,0,0,38,13,0,0,0,3,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,1,0,2,10,20,39,6,105.0,49.0,5,1,2,0,32,7,0,18,1,10.8,4.4,3.6,2017-10-28 11:30:00+00:00,90,0,10,0,751732,30.0,5,-13182,35677,48859,67,2017-10-28
16,2017-11-05,Sun,11,Away,L 0–1,Manchester Utd,Chelsea,Y*,"WB,RB",90,0,0,0,0,0,0,0,0,74,1,2,0,0.0,0.0,0.0,2,0,50,66,3,34,2,1,0,747,352,28,34,15,19,4,9,0.1,0,4,2,1,48,18,2,0,1,3,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,2,0,3,11,41,22,0,160.0,71.0,0,0,1,0,44,3,0,8,0,7.0,1.4,6.8,2017-11-05 16:30:00+00:00,90,0,11,0,767911,0.0,2,6753,30563,23810,67,2017-11-05
17,2017-11-18,Sat,12,Home,W 4–1,Manchester Utd,Newcastle Utd,Y*,RB,90,0,0,0,0,1,0,0,0,91,2,1,3,0.0,0.0,0.1,2,0,72,81,3,51,4,2,1,943,265,38,40,22,25,3,5,0.1,1,1,1,0,71,10,0,0,0,5,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,2,1,1,2,3,0,3,15,36,40,2,223.0,143.0,2,1,1,0,66,15,0,20,0,23.2,6.4,21.2,2017-11-18 17:30:00+00:00,90,0,12,0,834482,20.0,2,54188,73226,19038,67,2017-11-18
18,2017-11-25,Sat,13,Home,W 1–0,Manchester Utd,Brighton,Y*,RB,90,0,0,0,0,0,0,0,0,84,2,2,2,0.0,0.0,0.1,5,0,63,73,4,46,2,2,2,727,248,46,47,11,15,2,4,0.3,1,9,0,0,65,8,1,0,0,5,7,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,2,0,2,16,39,29,3,171.0,87.0,1,2,3,0,55,7,2,32,1,19.6,4.3,15.8,2017-11-25 15:00:00+00:00,90,0,13,0,848681,8.0,8,7134,36947,29813,67,2017-11-25
19,2017-11-28,Tue,14,Away,W 4–2,Manchester Utd,Watford,Y*,WB,90,0,0,0,0,0,0,0,0,58,2,2,3,0.0,0.0,0.0,1,0,36,47,3,27,2,2,1,523,250,24,29,8,9,3,7,0.0,0,0,2,0,30,17,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,3,2,0,4,16,23,19,0,208.0,90.0,3,0,0,0,23,0,0,11,0,2.5,1.3,10.8,2017-11-28 20:00:00+00:00,90,0,14,0,859235,0.0,1,5098,24928,19830,68,2017-11-28
20,2017-12-02,Sat,15,Away,W 3–1,Manchester Utd,Arsenal,Y*,"WB,RB",90,1,0,0,0,1,1,0,0,42,1,1,2,0.1,0.1,0.0,2,1,21,26,0,15,3,3,1,293,147,11,12,6,7,2,5,0.0,1,0,1,1,17,9,0,0,0,1,9,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2,1,0,2,6,0,9,20,13,9,1,164.0,91.0,0,0,0,1,13,2,0,27,0,15.2,8.4,52.2,2017-12-02 17:30:00+00:00,90,0,15,0,839478,17.0,8,-24982,14536,39518,68,2017-12-02
21,2017-12-10,Sun,16,Home,L 1–2,Manchester Utd,Manchester City,Y*,RB,90,0,0,0,0,0,0,0,0,51,4,3,2,0.0,0.0,0.0,1,0,33,43,1,23,2,2,2,513,159,13,15,14,18,2,5,0.0,0,0,1,1,29,14,1,0,0,2,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,1,3,2,0,2,1,0,7,17,24,10,0,103.0,56.0,0,0,1,3,22,2,0,14,0,4.8,2.2,17.0,2017-12-10 16:30:00+00:00,90,0,16,0,874997,0.0,1,23678,46054,22376,68,2017-12-10
22,2017-12-13,Wed,17,Home,W 1–0,Manchester Utd,Bournemouth,Y*,RB,90,0,0,0,0,1,0,0,0,85,1,2,0,0.0,0.0,0.0,0,0,64,78,1,55,5,0,0,951,341,34,37,22,23,4,9,0.0,0,3,0,0,65,12,1,1,1,2,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,4,0,4,27,38,20,4,250.0,150.0,4,2,1,0,55,4,0,26,1,6.8,4.1,10.4,2017-12-13 20:00:00+00:00,90,0,17,0,916027,24.0,6,33815,46842,13027,68,2017-12-13
23,2017-12-17,Sun,18,Away,W 2–1,Manchester Utd,West Brom,Y*,RB,65,0,0,0,0,0,0,0,0,53,0,1,1,0.0,0.0,0.0,1,0,39,44,1,25,1,0,0,581,194,22,23,13,14,2,3,0.0,0,1,1,1,38,6,2,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,4,21,20,12,0,94.0,46.0,0,0,0,2,33,5,1,25,1,6.8,2.1,14.6,2017-12-17 14:15:00+00:00,65,0,18,0,967833,0.0,7,44037,54690,10653,68,2017-12-17
24,2018-01-15,Mon,23,Home,W 3–0,Manchester Utd,Stoke City,Y*,RB,90,1,0,0,0,1,1,0,0,80,4,3,1,0.0,0.0,0.1,1,0,64,71,4,46,5,2,0,812,274,41,42,21,22,0,1,0.3,1,3,0,0,64,6,0,0,0,1,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,0,0,1,0,0,1,26,33,22,4,220.0,135.0,0,3,0,1,56,6,3,41,1,15.4,9.0,51.8,2018-01-15 20:00:00+00:00,90,0,23,0,446367,23.0,15,-70595,2922,73517,67,2018-01-15
25,2018-01-20,Sat,24,Away,W 1–0,Manchester Utd,Burnley,Y*,RB,90,0,0,0,0,0,0,1,0,62,2,2,3,0.0,0.0,0.0,1,0,41,52,0,25,3,1,1,515,219,29,30,7,10,3,8,0.0,1,2,0,0,42,10,0,0,0,2,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,2,0,6,26,22,16,0,177.0,121.0,4,0,0,1,35,0,0,23,1,14.3,3.2,18.0,2018-01-20 15:00:00+00:00,90,0,24,0,491761,0.0,5,40340,52968,12628,67,2018-01-20
26,2018-01-31,Wed,25,Away,L 0–2,Manchester Utd,Tottenham,Y*,RB,90,0,0,0,0,0,0,0,0,71,4,3,3,0.0,0.0,0.1,2,0,51,60,2,36,1,4,3,766,332,32,35,14,16,4,6,0.0,2,5,0,0,56,4,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,1,1,0,3,0,0,5,32,35,6,0,208.0,97.0,0,0,1,0,39,1,0,24,0,22.3,4.3,20.8,2018-01-31 20:00:00+00:00,90,0,25,0,517614,0.0,1,18320,31530,13210,67,2018-01-31
27,2018-02-03,Sat,26,Home,W 2–0,Manchester Utd,Huddersfield,Y*,RB,90,0,0,0,0,1,0,0,0,97,1,2,1,0.0,0.0,0.1,5,0,74,89,6,55,10,4,3,1031,347,39,46,23,26,4,5,0.1,2,6,4,1,77,12,1,0,0,5,11,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,1,0,1,16,44,38,4,396.0,286.0,2,2,0,2,74,14,0,27,1,30.9,6.5,17.8,2018-02-03 15:00:00+00:00,90,0,26,0,553008,16.0,6,31374,40096,8722,68,2018-02-03
28,2018-02-11,Sun,27,Away,L 0–1,Manchester Utd,Newcastle Utd,Y*,RB,90,0,0,0,0,1,0,1,0,104,1,2,4,0.0,0.0,0.0,1,0,79,96,8,42,2,1,1,1151,459,37,39,25,30,8,13,0.1,0,7,1,1,76,19,1,0,0,2,18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,4,1,0,5,26,41,38,0,243.0,99.0,0,0,1,0,62,2,0,9,0,10.9,2.0,8.2,2018-02-11 14:15:00+00:00,90,0,27,0,663578,1.0,1,102208,113351,11143,69,2018-02-11
29,2018-02-25,Sun,28,Home,W 2–1,Manchester Utd,Chelsea,Y*,RB,90,0,0,0,0,0,0,1,0,46,2,0,1,0.0,0.0,0.0,4,0,26,32,1,22,4,2,0,402,136,11,14,8,8,4,7,0.0,2,3,1,1,29,3,1,0,0,4,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,7,0,6,13,18,15,0,140.0,87.0,3,0,1,0,24,3,0,6,0,30.0,5.4,24.4,2018-02-25 14:05:00+00:00,90,0,28,0,641614,0.0,1,-28557,17852,46409,69,2018-02-25
30,2018-03-05,Mon,29,Away,W 3–2,Manchester Utd,Crystal Palace,Y*,RB,66,0,1,0,0,1,0,0,0,74,2,1,2,0.0,0.0,0.1,4,1,55,68,4,39,3,1,1,946,344,26,28,24,27,4,8,0.2,4,4,1,0,56,11,1,0,2,0,10,0,1,4,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,2,2,0,3,21,41,12,1,208.0,142.0,2,1,0,0,43,6,0,29,0,42.9,8.6,33.0,2018-03-05 20:00:00+00:00,66,0,29,0,655978,10.0,4,11116,24104,12988,69,2018-03-05
31,2018-03-10,Sat,30,Home,W 2–1,Manchester Utd,Liverpool,Y*,RB,90,0,0,0,0,0,0,1,0,49,0,2,0,0.0,0.0,0.0,1,0,22,40,3,24,1,0,0,348,182,13,15,5,14,2,8,0.0,0,2,0,0,31,9,1,2,1,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,19,26,5,1,119.0,79.0,1,0,0,0,23,2,0,3,0,7.3,1.4,5.0,2018-03-10 12:30:00+00:00,90,0,30,0,658814,2.0,1,-20487,6385,26872,69,2018-03-10
32,2018-03-31,Sat,32,Home,W 2–0,Manchester Utd,Swansea City,Y*,RB,90,0,0,0,0,0,0,0,0,64,3,1,0,0.0,0.0,0.1,2,0,51,56,3,30,5,0,0,568,188,39,40,10,14,0,0,0.1,1,2,0,0,52,4,0,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,3,1,0,0,3,0,5,18,29,17,3,177.0,125.0,1,2,0,0,42,2,1,32,1,13.8,3.6,16.4,2018-03-31 14:00:00+00:00,90,0,32,0,685500,6.0,7,25463,34650,9187,69,2018-03-31
33,2018-04-07,Sat,33,Away,W 3–2,Manchester Utd,Manchester City,Y*,RB,90,0,0,0,0,0,0,0,0,54,2,5,1,0.0,0.0,0.0,0,0,33,44,1,21,1,1,1,529,196,22,25,8,10,3,6,0.0,0,1,0,0,34,10,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,2,0,4,15,24,16,1,100.0,66.0,1,0,0,0,25,1,0,12,0,2.4,1.9,14.4,2018-04-07 16:30:00+00:00,90,0,33,0,675965,2.0,1,-9876,9377,19253,69,2018-04-07
34,2018-04-15,Sun,34,Home,L 0–1,Manchester Utd,West Brom,Y*,"RB,CB",90,0,0,0,0,0,0,0,0,100,0,1,3,0.0,0.0,0.1,3,0,84,95,3,62,7,1,0,1137,288,52,54,24,31,2,3,0.3,1,3,2,0,88,7,1,0,0,3,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,17,43,40,5,407.0,309.0,9,3,1,0,78,13,0,12,0,18.9,3.6,6.8,2018-04-15 15:00:00+00:00,90,0,34,0,716979,10.0,2,32080,41839,9759,69,2018-04-15
35,2018-04-29,Sun,36,Home,W 2–1,Manchester Utd,Arsenal,Y*,RB,90,0,0,0,0,1,0,0,0,88,1,4,0,0.0,0.0,0.0,2,0,68,84,7,52,6,1,0,856,251,41,44,18,24,3,9,0.0,0,3,2,0,73,11,1,0,0,7,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,14,48,27,2,283.0,161.0,1,1,0,0,63,11,0,13,0,5.4,1.8,6.4,2018-04-29 15:30:00+00:00,90,0,36,0,683227,6.0,2,-2076,10238,12314,69,2018-04-29
36,2018-05-10,Thu,31,Away,D 0–0,Manchester Utd,West Ham,Y*,RB,89,0,0,0,0,0,0,0,0,82,4,1,0,0.0,0.0,0.1,4,0,61,74,0,43,2,1,1,794,232,36,40,17,17,3,7,0.1,2,1,1,1,61,13,0,0,0,2,13,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,1,2,1,2,3,1,0,0,2,0,3,17,33,33,3,197.0,72.0,1,1,1,0,55,9,0,27,1,31.3,5.5,18.0,2018-05-10 18:45:00+00:00,90,0,37,0,697677,6.0,6,12495,21159,8664,69,2018-05-10
