Unnamed: 0,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
10,2018-11-10,Sat,12,Home,D 1–1,Huddersfield,West Ham,Y,WB,44,0,0,0,0,0,0,0,0,31,2,0,0,0.0,0.0,0.0,2,0,19,29,3,12,3,2,1,314,84,10,12,7,12,2,3,0.0,0,2,0,0,22,6,1,0,0,1,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,1,5,17,10,0,128.0,97.0,2,0,0,0,15,0,0,4,0,1.8,0.7,5.0,2018-11-10 15:00:00+00:00,44,0,12,0,9022,0.0,1,580,988,408,44,2018-11-10
11,2018-12-08,Sat,16,Away,L 0–1,Huddersfield,Arsenal,Y,"LW,LM",90,0,0,0,0,2,0,0,0,38,1,0,1,0.1,0.1,0.0,0,0,20,28,2,19,0,0,0,306,88,12,12,5,7,3,6,0.0,0,2,1,1,27,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,3,0,1,7,14,17,1,77.0,39.0,2,0,2,0,28,4,0,6,0,6.5,1.7,5.0,2018-12-08 15:00:00+00:00,90,0,16,0,6539,5.0,2,-249,19,268,44,2018-12-08
12,2018-12-15,Sat,17,Home,L 0–1,Huddersfield,Newcastle Utd,Y,"WB,LW",59,0,0,0,0,2,1,0,0,39,0,0,1,0.1,0.1,0.3,3,0,28,34,3,25,0,1,1,480,131,14,16,9,9,4,7,0.2,3,0,1,1,28,5,2,0,0,7,1,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,15,23,2,128.0,43.0,1,0,1,1,27,3,0,6,0,49.1,7.2,10.2,2018-12-15 15:00:00+00:00,59,0,17,0,9046,13.0,1,2314,2535,221,44,2018-12-15
13,2018-12-22,Sat,18,Home,L 1–3,Huddersfield,Southampton,Y,WB,45,0,0,0,0,0,0,1,0,26,0,0,0,0.0,0.0,0.0,0,0,15,24,2,13,3,0,0,235,55,8,8,6,7,1,6,0.0,0,0,0,0,19,4,1,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,11,9,0,93.0,69.0,3,0,1,0,14,1,0,0,0,1.0,0.0,0.0,2018-12-22 15:00:00+00:00,45,0,18,0,9936,0.0,-1,930,1284,354,44,2018-12-22
14,2018-12-26,Wed,19,Away,L 1–3,Huddersfield,Manchester Utd,N,LW,34,0,0,0,0,0,0,0,0,19,0,1,0,0.0,0.0,0.0,0,0,10,15,0,10,0,0,0,145,32,6,8,3,3,1,1,0.1,0,0,1,1,13,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,9,6,0,39.0,6.0,0,0,1,0,10,3,0,4,0,4.5,0.9,4.4,2018-12-26 15:00:00+00:00,33,0,19,0,9293,0.0,0,-606,152,758,44,2018-12-26
15,2018-12-29,Sat,20,Away,L 0–1,Huddersfield,Fulham,Y,WB,90,0,0,0,0,1,0,0,0,46,1,2,1,0.1,0.1,0.0,0,0,22,35,0,15,1,0,0,449,176,5,8,12,14,3,9,0.0,0,0,1,1,23,12,1,0,0,6,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4,0,2,16,16,15,1,79.0,38.0,0,0,1,1,17,5,0,6,0,4.8,2.9,6.2,2018-12-29 15:00:00+00:00,90,0,20,0,8035,18.0,2,-1291,68,1359,44,2018-12-29
16,2019-01-02,Wed,21,Home,L 1–2,Huddersfield,Burnley,N,LB,20,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,10,13,1,2,0,0,0,179,95,4,4,5,6,1,3,0.0,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,0,7.0,5.0,0,0,0,1,6,1,0,2,0,0.5,0.1,0.8,2019-01-02 19:45:00+00:00,19,0,21,0,8270,0.0,1,154,492,338,44,2019-01-02
17,2019-01-20,Sun,23,Home,L 0–3,Huddersfield,Manchester City,Y,LB,90,0,0,0,0,0,0,0,0,46,0,2,0,0.0,0.0,0.0,1,0,28,41,3,16,2,1,1,458,164,17,21,7,11,4,7,0.0,0,1,0,0,29,12,1,0,0,1,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,18,16,12,1,95.0,52.0,1,1,0,0,21,3,0,9,0,1.5,0.9,5.6,2019-01-20 13:30:00+00:00,90,0,23,0,7189,2.0,1,-525,29,554,44,2019-01-20
18,2019-01-29,Tue,24,Home,L 0–1,Huddersfield,Everton,N,WB,10,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,4,8,2,3,0,0,0,70,16,1,1,3,6,0,0,0.0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,32.0,16.0,0,0,0,0,7,4,0,3,0,0.8,0.1,0.4,2019-01-29 19:45:00+00:00,9,0,24,0,7073,0.0,1,-142,64,206,44,2019-01-29
19,2019-02-02,Sat,25,Away,L 0–5,Huddersfield,Chelsea,Y,LB,90,0,0,0,0,0,0,0,0,67,0,2,1,0.0,0.0,0.1,3,0,40,56,3,37,6,0,0,753,337,19,22,15,21,5,9,0.0,1,4,1,1,48,8,1,0,1,6,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,5,0,7,30,29,11,0,206.0,129.0,2,0,2,0,44,5,0,14,0,15.3,3.7,21.2,2019-02-02 15:00:00+00:00,90,0,25,0,6902,0.0,0,-151,17,168,44,2019-02-02
